week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,25.611428571428572,24.804285714285715,26.717142857142857,159.24,3.1557142857142857,Ampara,Ampara,7.0737575,81.8322887
2013-01-14,25.78,24.815714285714286,27.03857142857143,114.36,2.6799999999999997,Ampara,Ampara,7.0737575,81.8322887
2013-01-21,25.525714285714287,24.305714285714284,27.24285714285714,5.739999999999999,3.0,Ampara,Ampara,7.0737575,81.8322887
2013-01-28,25.96857142857143,25.148571428571426,27.287142857142857,100.97,3.2142857142857144,Ampara,Ampara,7.0737575,81.8322887
2013-02-04,25.891428571428573,24.68,27.665714285714284,25.509999999999998,3.1814285714285715,Ampara,Ampara,7.0737575,81.8322887
2013-02-11,26.03,25.101428571428567,27.397142857142857,56.83,2.5,Ampara,Ampara,7.0737575,81.8322887
2013-02-18,26.31714285714286,25.277142857142856,27.88714285714286,131.17000000000002,2.027142857142857,Ampara,Ampara,7.0737575,81.8322887
2013-02-25,26.30857142857143,24.982857142857142,28.30857142857143,4.24,2.6999999999999997,Ampara,Ampara,7.0737575,81.8322887
2013-03-04,26.327142857142857,24.975714285714282,28.082857142857144,28.939999999999998,2.815714285714286,Ampara,Ampara,7.0737575,81.8322887
2013-03-11,27.228571428571428,26.157142857142855,28.892857142857142,41.410000000000004,2.4214285714285713,Ampara,Ampara,7.0737575,81.8322887
2013-03-18,27.31142857142857,26.014285714285712,29.231428571428573,28.31,2.237142857142857,Ampara,Ampara,7.0737575,81.8322887
2013-03-25,27.552857142857142,26.228571428571428,29.232857142857142,24.96,2.0357142857142856,Ampara,Ampara,7.0737575,81.8322887
2013-04-01,28.231428571428573,27.07,30.002857142857142,19.2,1.3685714285714285,Ampara,Ampara,7.0737575,81.8322887
2013-04-08,28.197142857142858,26.655714285714286,30.349999999999998,9.24,1.5528571428571427,Ampara,Ampara,7.0737575,81.8322887
2013-04-15,28.217142857142854,26.92142857142857,30.075714285714287,113.5,1.7242857142857144,Ampara,Ampara,7.0737575,81.8322887
2013-04-22,28.83857142857143,27.2,30.994285714285716,26.46,1.9014285714285715,Ampara,Ampara,7.0737575,81.8322887
2013-04-29,28.524285714285718,27.294285714285714,30.291428571428572,40.18,1.5042857142857144,Ampara,Ampara,7.0737575,81.8322887
2013-05-06,27.83285714285714,26.762857142857143,29.345714285714283,44.879999999999995,2.08,Ampara,Ampara,7.0737575,81.8322887
2013-05-13,28.16857142857143,26.68857142857143,30.032857142857146,49.43,2.1271428571428572,Ampara,Ampara,7.0737575,81.8322887
2013-05-20,28.092857142857145,26.73428571428571,29.91857142857143,34.52,2.447142857142857,Ampara,Ampara,7.0737575,81.8322887
2013-05-27,28.03,26.657142857142855,30.205714285714286,7.5,3.307142857142857,Ampara,Ampara,7.0737575,81.8322887
2013-06-03,27.65857142857143,26.197142857142858,29.740000000000002,25.13,3.0885714285714285,Ampara,Ampara,7.0737575,81.8322887
2013-06-10,27.577142857142857,25.865714285714287,30.024285714285714,14.66,2.9,Ampara,Ampara,7.0737575,81.8322887
2013-06-17,27.41714285714286,25.497142857142858,30.138571428571428,18.52,3.15,Ampara,Ampara,7.0737575,81.8322887
2013-06-24,27.627142857142854,25.580000000000002,30.571428571428573,14.26,2.6942857142857144,Ampara,Ampara,7.0737575,81.8322887
2013-07-01,27.28142857142857,25.657142857142855,29.77857142857143,37.72,2.641428571428571,Ampara,Ampara,7.0737575,81.8322887
