week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.382857142857144,25.577142857142857,27.23,160.87,4.642857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-01-14,26.11285714285714,25.287142857142857,27.001428571428573,131.35,3.9499999999999997,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-01-21,25.93142857142857,24.919999999999998,27.072857142857142,10.690000000000001,4.155714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-01-28,26.457142857142856,25.824285714285715,27.31714285714286,102.01,4.844285714285713,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-02-04,26.25142857142857,25.31142857142857,27.445714285714285,40.760000000000005,4.582857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-02-11,26.66142857142857,25.92142857142857,27.608571428571427,60.599999999999994,3.63,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-02-18,26.717142857142857,25.832857142857144,27.91,134.07,2.91,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-02-25,26.601428571428574,25.59,27.919999999999998,5.03,3.63,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-03-04,26.774285714285714,25.74857142857143,27.942857142857143,37.17,3.8714285714285714,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-03-11,27.617142857142856,26.798571428571428,28.7,40.4,3.4585714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-03-18,27.65285714285714,26.684285714285714,28.88,27.91,2.9971428571428573,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-03-25,27.97,26.95,29.15285714285714,33.510000000000005,2.5242857142857145,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-04-01,28.48,27.439999999999998,29.775714285714287,20.080000000000002,1.98,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-04-08,28.582857142857144,27.16142857142857,30.259999999999998,6.25,1.8342857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-04-15,28.68285714285714,27.521428571428572,29.967142857142854,82.0,2.2142857142857144,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-04-22,29.367142857142856,28.114285714285717,30.90285714285714,21.200000000000003,2.0542857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-04-29,29.012857142857143,27.934285714285714,30.18285714285714,29.32,1.8257142857142856,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-05-06,28.707142857142856,27.552857142857142,30.205714285714286,35.34,2.278571428571429,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-05-13,28.99142857142857,27.455714285714286,30.767142857142858,40.54,2.8985714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-05-20,28.93857142857143,27.49857142857143,30.73,18.52,2.6585714285714284,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-05-27,28.787142857142857,27.094285714285714,31.13,3.54,3.6242857142857146,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-06-03,28.322857142857142,26.747142857142855,30.404285714285717,15.56,3.7657142857142856,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-06-10,28.259999999999998,26.39428571428571,30.72714285714286,8.85,3.9471428571428575,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-06-17,27.884285714285713,26.01571428571429,30.451428571428572,11.26,5.028571428571429,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-06-24,28.225714285714286,26.264285714285712,31.00714285714286,12.09,4.395714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-07-01,28.181428571428572,26.247142857142855,30.687142857142856,16.970000000000002,2.8857142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-07-08,27.97714285714286,26.117142857142856,30.542857142857144,37.42,3.9014285714285717,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-07-15,28.259999999999998,26.240000000000002,30.91857142857143,7.7,3.7771428571428567,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-07-22,28.19,26.315714285714286,30.907142857142855,5.17,4.298571428571429,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-07-29,28.322857142857142,26.087142857142858,31.367142857142856,7.319999999999999,3.6242857142857146,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-08-05,28.458571428571428,26.32857142857143,31.437142857142856,8.709999999999999,4.521428571428571,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-08-12,28.431428571428572,26.184285714285714,31.145714285714284,23.79,3.3114285714285714,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-08-19,28.914285714285715,26.294285714285714,32.14,1.27,3.051428571428571,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-08-26,29.291428571428572,26.451428571428572,33.067142857142855,1.01,2.6714285714285713,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-09-02,28.282857142857143,26.602857142857143,30.53857142857143,46.32,3.412857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-09-09,28.284285714285716,26.027142857142856,31.197142857142858,19.97,2.8957142857142855,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-09-16,28.68,26.274285714285718,31.84857142857143,19.06,3.54,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-09-23,29.091428571428573,26.58285714285714,32.48571428571429,3.75,3.5928571428571425,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-09-30,29.532857142857143,26.66714285714286,33.065714285714286,0.01,2.3942857142857146,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-10-07,29.232857142857142,26.52285714285714,32.44571428571429,0.86,2.337142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-10-14,29.447142857142858,26.687142857142856,32.79857142857143,3.8899999999999997,2.7785714285714285,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-10-21,27.924285714285713,26.391428571428573,30.027142857142856,50.5,2.262857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-10-28,28.59714285714286,26.47714285714286,31.368571428571432,14.15,2.974285714285714,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-11-04,27.68285714285714,26.58285714285714,29.12714285714286,63.02,2.54,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-11-11,27.675714285714285,26.60571428571429,29.044285714285714,44.99,3.3299999999999996,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-11-18,27.275714285714287,26.150000000000002,28.74285714285714,17.42,3.525714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-11-25,27.02857142857143,26.154285714285713,28.31857142857143,75.99,2.217142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-12-02,26.565714285714286,25.577142857142857,27.874285714285715,70.68,3.0385714285714287,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-12-09,26.41142857142857,25.529999999999998,27.631428571428575,88.75999999999999,4.197142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-12-16,26.31142857142857,25.060000000000002,27.791428571428572,33.67,3.085714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-12-23,26.05857142857143,25.32857142857143,27.004285714285714,19.28,5.062857142857142,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2013-12-30,25.738571428571426,24.82,26.877142857142854,16.220000000000002,4.652857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-01-06,25.695714285714285,24.747142857142855,26.948571428571427,22.72,4.725714285714285,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-01-13,26.021428571428572,25.065714285714286,27.212857142857143,38.45,3.8742857142857146,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-01-20,26.062857142857144,25.18285714285714,27.28,54.48,4.258571428571428,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-01-27,25.857142857142858,24.814285714285713,27.20714285714286,4.65,4.727142857142858,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-02-03,26.232857142857142,25.368571428571432,27.40285714285714,50.29,4.898571428571429,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-02-10,25.928571428571427,24.635714285714283,27.45,0.16,3.6571428571428575,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-02-17,26.57857142857143,25.13,28.564285714285713,0.19,2.8785714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-02-24,27.174285714285713,25.93857142857143,28.815714285714286,16.09,4.417142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-03-03,27.165714285714284,25.96142857142857,28.787142857142857,31.52,3.9814285714285718,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-03-10,27.445714285714285,26.214285714285715,29.131428571428575,13.94,4.112857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-03-17,27.71857142857143,26.384285714285713,29.467142857142857,1.1099999999999999,4.7,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-03-24,27.919999999999998,26.524285714285718,29.957142857142856,14.030000000000001,3.095714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-03-31,27.90285714285714,26.192857142857143,30.22142857142857,1.5000000000000002,3.367142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-04-07,28.55857142857143,26.842857142857145,31.05857142857143,14.96,2.94,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-04-14,28.951428571428572,27.064285714285713,31.65285714285714,8.219999999999999,2.7871428571428574,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-04-21,28.915714285714284,27.298571428571428,31.207142857142856,14.09,2.2542857142857144,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-04-28,29.247142857142855,27.76142857142857,31.31142857142857,25.2,2.3871428571428575,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-05-05,28.172857142857143,27.178571428571427,29.601428571428574,81.13,3.5228571428571427,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-05-12,28.268571428571427,27.024285714285714,29.937142857142856,78.73,3.1585714285714284,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-05-19,29.50142857142857,27.622857142857146,31.56714285714286,1.96,1.7914285714285714,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-05-26,29.798571428571428,27.65285714285714,32.54142857142857,6.93,2.2728571428571427,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-06-02,29.488571428571426,27.638571428571428,31.88571428571429,24.259999999999998,2.505714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-06-09,29.692857142857143,27.56142857142857,32.59571428571429,4.96,3.9257142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-06-16,29.867142857142856,27.495714285714286,33.09285714285714,3.4499999999999997,4.115714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-06-23,29.798571428571428,27.17571428571429,33.19571428571429,0.94,4.114285714285715,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-06-30,29.93285714285714,27.31142857142857,33.20428571428572,1.1400000000000001,3.337142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-07-07,29.777142857142856,27.485714285714288,32.682857142857145,2.59,3.3857142857142857,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-07-14,29.627142857142854,27.297142857142855,32.80571428571428,2.33,5.477142857142858,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-07-21,29.942857142857143,27.360000000000003,33.25142857142857,0.6599999999999999,3.782857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-07-28,30.07,27.545714285714286,33.09285714285714,2.45,4.2942857142857145,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-08-04,30.114285714285717,27.562857142857144,33.38857142857143,3.77,4.018571428571429,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-08-11,29.444285714285716,27.011428571428574,32.455714285714286,22.560000000000002,2.9528571428571424,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-08-18,28.485714285714288,26.521428571428572,31.09857142857143,27.58,2.59,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-08-25,28.572857142857142,26.585714285714285,31.127142857142854,25.459999999999997,2.5742857142857143,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-09-01,29.424285714285713,26.641428571428573,32.89,1.49,3.281428571428571,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-09-08,28.715714285714284,26.461428571428574,31.7,15.27,3.1028571428571428,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-09-15,29.585714285714285,26.752857142857145,33.20142857142857,11.73,2.795714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-09-22,29.725714285714286,26.93,33.23428571428571,1.31,3.2885714285714287,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-09-29,28.69142857142857,26.844285714285714,31.15285714285714,44.71,3.0557142857142856,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-10-06,28.065714285714286,26.664285714285715,30.02285714285714,46.230000000000004,2.0085714285714285,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-10-13,28.97714285714286,26.784285714285716,31.705714285714286,26.729999999999997,2.5585714285714287,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-10-20,27.325714285714287,26.125714285714285,28.955714285714286,103.81,2.494285714285714,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-10-27,27.551428571428573,26.604285714285712,28.79,96.61,1.9385714285714286,Ampara,Kalmunai(South MD),7.4033895,81.8291247
2014-11-03,26.874285714285715,25.82,27.997142857142855,87.26,2.2257142857142855,Ampara,Kalmunai(South MD),7.4033895,81.8291247
