week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.795714285714286,25.895714285714288,27.56,56.620000000000005,2.8328571428571427,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-14,26.810000000000002,25.785714285714285,27.75714285714286,50.68,3.2600000000000002,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-21,26.49285714285714,24.882857142857144,27.76571428571429,0.6900000000000001,2.391428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-28,26.98857142857143,25.77857142857143,28.169999999999998,22.72,2.837142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-04,26.900000000000002,25.245714285714286,28.412857142857142,5.0200000000000005,2.5371428571428574,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-11,26.99857142857143,26.084285714285716,27.94142857142857,56.06,2.462857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-18,26.827142857142857,25.792857142857144,27.942857142857143,71.22,3.4857142857142853,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-25,27.235714285714288,25.81142857142857,28.427142857142858,16.63,1.8771428571428572,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-04,27.385714285714283,26.27285714285714,28.25142857142857,28.39,1.9342857142857142,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-11,28.021428571428572,26.898571428571426,29.10571428571429,38.05,3.1,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-18,28.15142857142857,27.205714285714286,29.127142857142854,58.1,1.9114285714285713,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-25,28.12142857142857,27.312857142857144,28.99142857142857,50.56,1.45,Galle,Gonapinuwala,6.1414262,80.1369452
2013-04-01,28.145714285714288,27.375714285714285,28.979999999999997,42.26,1.6328571428571428,Galle,Gonapinuwala,6.1414262,80.1369452
2013-04-08,28.49285714285714,27.701428571428572,29.285714285714285,29.54,2.9042857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2013-04-15,28.490000000000002,27.74285714285714,29.24285714285714,77.74000000000001,2.525714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2013-04-22,28.904285714285717,28.235714285714288,29.712857142857143,10.969999999999999,3.6557142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2013-04-29,28.512857142857143,27.865714285714287,29.238571428571426,70.60000000000001,2.641428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2013-05-06,27.922857142857143,27.34857142857143,28.52,115.74,4.378571428571428,Galle,Gonapinuwala,6.1414262,80.1369452
2013-05-13,28.415714285714284,27.872857142857146,28.898571428571426,54.79,6.344285714285713,Galle,Gonapinuwala,6.1414262,80.1369452
2013-05-20,27.928571428571427,27.551428571428573,28.375714285714285,67.04,5.6499999999999995,Galle,Gonapinuwala,6.1414262,80.1369452
2013-05-27,27.82,27.474285714285713,28.24142857142857,17.740000000000002,6.264285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2013-06-03,27.65285714285714,27.287142857142857,28.102857142857143,78.8,6.562857142857142,Galle,Gonapinuwala,6.1414262,80.1369452
2013-06-10,27.268571428571427,26.87857142857143,27.697142857142858,63.43,6.514285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2013-06-17,27.150000000000002,26.76571428571429,27.557142857142857,77.59,6.5371428571428565,Galle,Gonapinuwala,6.1414262,80.1369452
2013-06-24,26.948571428571427,26.54714285714286,27.42571428571429,50.76,6.317142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2013-07-01,26.694285714285716,26.22714285714286,27.21857142857143,54.9,4.675714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2013-07-08,26.744285714285716,26.365714285714287,27.205714285714286,42.4,6.072857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-07-15,26.557142857142857,26.115714285714287,27.06,28.78,5.501428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2013-07-22,26.852857142857143,26.47714285714286,27.262857142857143,47.72,5.4071428571428575,Galle,Gonapinuwala,6.1414262,80.1369452
2013-07-29,26.934285714285714,26.494285714285716,27.385714285714283,76.39,4.815714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2013-08-05,27.025714285714287,26.631428571428575,27.5,30.2,6.362857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-08-12,26.37,25.985714285714288,26.87142857142857,11.18,6.025714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2013-08-19,26.584285714285716,26.05857142857143,27.22,7.51,4.88,Galle,Gonapinuwala,6.1414262,80.1369452
2013-08-26,26.994285714285716,26.50714285714286,27.624285714285715,9.84,5.357142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2013-09-02,26.518571428571427,25.974285714285713,27.125714285714285,38.19,4.282857142857142,Galle,Gonapinuwala,6.1414262,80.1369452
2013-09-09,26.81714285714286,26.341428571428573,27.37142857142857,70.14,5.582857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-09-16,26.98,26.507142857142856,27.59714285714286,80.1,6.3742857142857146,Galle,Gonapinuwala,6.1414262,80.1369452
2013-09-23,27.062857142857144,26.618571428571425,27.575714285714287,45.96,5.514285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2013-09-30,27.222857142857144,26.49142857142857,27.995714285714286,1.31,4.414285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2013-10-07,27.189999999999998,26.647142857142857,27.835714285714285,22.33,4.852857142857142,Galle,Gonapinuwala,6.1414262,80.1369452
2013-10-14,27.34857142857143,26.875714285714285,27.939999999999998,52.47,5.448571428571428,Galle,Gonapinuwala,6.1414262,80.1369452
2013-10-21,27.014285714285712,26.34142857142857,27.62142857142857,95.51,5.412857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-10-28,27.24285714285714,26.777142857142856,27.844285714285714,36.03,4.685714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2013-11-04,26.622857142857146,25.992857142857144,27.324285714285715,86.61,2.472857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-11-11,27.482857142857142,26.315714285714286,28.67142857142857,59.49,1.6814285714285713,Galle,Gonapinuwala,6.1414262,80.1369452
2013-11-18,27.351428571428574,26.431428571428572,28.255714285714284,39.47,3.314285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2013-11-25,27.254285714285714,26.44,28.048571428571428,59.75,2.481428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2013-12-02,26.987142857142857,26.147142857142857,27.867142857142856,68.58,1.9542857142857142,Galle,Gonapinuwala,6.1414262,80.1369452
2013-12-09,27.127142857142854,26.400000000000002,27.898571428571426,42.88,4.402857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2013-12-16,26.57857142857143,25.464285714285715,27.65285714285714,34.69,3.0228571428571427,Galle,Gonapinuwala,6.1414262,80.1369452
2013-12-23,26.631428571428575,25.285714285714285,28.05,9.65,3.5271428571428567,Galle,Gonapinuwala,6.1414262,80.1369452
2013-12-30,26.425714285714285,24.987142857142857,27.77,20.71,2.8742857142857146,Galle,Gonapinuwala,6.1414262,80.1369452
2014-01-06,26.40857142857143,25.03857142857143,27.787142857142857,3.69,3.4842857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2014-01-13,26.62285714285714,25.38,27.832857142857144,27.779999999999998,2.5085714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2014-01-20,26.632857142857144,25.391428571428573,27.985714285714288,20.52,2.358571428571428,Galle,Gonapinuwala,6.1414262,80.1369452
2014-01-27,26.542857142857144,24.891428571428573,28.259999999999998,0.69,2.891428571428572,Galle,Gonapinuwala,6.1414262,80.1369452
2014-02-03,26.557142857142857,25.017142857142858,28.357142857142858,22.12,3.0157142857142856,Galle,Gonapinuwala,6.1414262,80.1369452
2014-02-10,26.417142857142856,24.648571428571426,27.96142857142857,0.02,2.2971428571428567,Galle,Gonapinuwala,6.1414262,80.1369452
2014-02-17,26.74142857142857,25.46142857142857,28.034285714285716,0.25,1.6500000000000001,Galle,Gonapinuwala,6.1414262,80.1369452
2014-02-24,27.635714285714283,26.30857142857143,29.04714285714286,23.650000000000002,2.3985714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2014-03-03,27.572857142857142,26.27285714285714,28.964285714285715,10.4,2.7728571428571427,Galle,Gonapinuwala,6.1414262,80.1369452
2014-03-10,27.889999999999997,26.607142857142858,29.23,30.78,3.5014285714285713,Galle,Gonapinuwala,6.1414262,80.1369452
2014-03-17,27.754285714285714,25.907142857142855,29.575714285714287,6.859999999999999,3.1114285714285717,Galle,Gonapinuwala,6.1414262,80.1369452
2014-03-24,27.827142857142857,26.67142857142857,29.204285714285714,32.75,2.8642857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-03-31,28.06,26.514285714285712,29.694285714285716,11.3,2.5300000000000002,Galle,Gonapinuwala,6.1414262,80.1369452
2014-04-07,28.009999999999998,27.175714285714285,28.955714285714286,38.25,3.3085714285714287,Galle,Gonapinuwala,6.1414262,80.1369452
2014-04-14,28.13,27.52,28.788571428571426,25.98,3.182857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-04-21,28.05857142857143,27.54,28.684285714285714,22.64,3.04,Galle,Gonapinuwala,6.1414262,80.1369452
2014-04-28,28.015714285714285,27.43,28.664285714285715,74.13,3.107142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2014-05-05,27.745714285714286,27.24142857142857,28.395714285714288,92.63,2.9357142857142855,Galle,Gonapinuwala,6.1414262,80.1369452
2014-05-12,28.12142857142857,27.53857142857143,28.744285714285716,61.839999999999996,4.257142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2014-05-19,28.655714285714286,28.077142857142857,29.354285714285712,11.89,4.981428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2014-05-26,28.301428571428573,27.728571428571428,28.94142857142857,26.36,5.288571428571429,Galle,Gonapinuwala,6.1414262,80.1369452
2014-06-02,28.068571428571428,27.58857142857143,28.61285714285714,85.1,5.62,Galle,Gonapinuwala,6.1414262,80.1369452
2014-06-09,28.005714285714284,27.544285714285714,28.571428571428573,62.17,6.444285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2014-06-16,28.065714285714286,27.654285714285713,28.577142857142857,32.71,5.942857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-06-23,28.011428571428574,27.585714285714285,28.52857142857143,17.87,6.367142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2014-06-30,27.84857142857143,27.425714285714285,28.412857142857145,19.65,6.235714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2014-07-07,27.648571428571426,27.247142857142855,28.117142857142856,27.84,6.412857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-07-14,27.288571428571426,26.81,27.83142857142857,16.46,6.1000000000000005,Galle,Gonapinuwala,6.1414262,80.1369452
2014-07-21,27.25714285714286,26.801428571428573,27.87142857142857,4.35,5.325714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2014-07-28,27.33857142857143,26.867142857142856,27.874285714285715,23.4,5.902857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-08-04,27.045714285714286,26.572857142857142,27.61285714285714,78.38,6.142857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-08-11,26.94142857142857,26.345714285714287,27.607142857142858,36.269999999999996,5.258571428571429,Galle,Gonapinuwala,6.1414262,80.1369452
2014-08-18,26.705714285714286,26.23,27.30857142857143,74.31,5.981428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2014-08-25,26.88714285714286,26.395714285714288,27.482857142857142,89.94999999999999,5.115714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2014-09-01,27.437142857142856,26.83857142857143,28.135714285714283,10.120000000000001,5.171428571428572,Galle,Gonapinuwala,6.1414262,80.1369452
2014-09-08,27.187142857142856,26.75,27.65857142857143,43.84,5.032857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2014-09-15,27.321428571428573,26.90285714285714,27.889999999999997,61.18,6.067142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2014-09-22,27.2,26.737142857142857,27.77285714285714,23.82,5.742857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-09-29,27.389999999999997,26.82857142857143,28.02857142857143,82.6,4.28,Galle,Gonapinuwala,6.1414262,80.1369452
2014-10-06,26.86285714285714,26.202857142857145,27.447142857142858,93.08,3.812857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-10-13,27.74857142857143,27.27285714285714,28.22,65.3,5.774285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2014-10-20,26.965714285714284,26.34714285714286,27.525714285714287,155.04999999999998,4.41,Galle,Gonapinuwala,6.1414262,80.1369452
2014-10-27,27.05,26.31142857142857,27.775714285714287,85.25,1.9842857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2014-11-03,26.65285714285714,26.135714285714283,27.23428571428571,108.5,3.9414285714285713,Galle,Gonapinuwala,6.1414262,80.1369452
2014-11-10,27.33857142857143,26.551428571428573,28.127142857142854,49.08,3.994285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2014-11-17,27.284285714285716,26.345714285714287,28.22,60.33,2.6771428571428575,Galle,Gonapinuwala,6.1414262,80.1369452
2014-11-24,26.78,26.032857142857143,27.534285714285716,113.27,2.5714285714285716,Galle,Gonapinuwala,6.1414262,80.1369452
2014-12-01,26.645714285714288,25.967142857142857,27.304285714285715,86.07,4.354285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2014-12-08,27.042857142857144,26.215714285714284,27.805714285714284,51.65,2.1085714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2014-12-15,26.74857142857143,25.86285714285714,27.705714285714286,57.19,1.8657142857142859,Galle,Gonapinuwala,6.1414262,80.1369452
2014-12-22,26.87142857142857,26.147142857142857,27.712857142857143,100.6,3.412857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2014-12-29,26.187142857142856,25.58142857142857,26.81142857142857,128.61,4.511428571428572,Galle,Gonapinuwala,6.1414262,80.1369452
2015-01-05,26.865714285714287,26.017142857142858,27.797142857142855,3.3899999999999997,2.4314285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2015-01-12,26.562857142857144,25.285714285714285,27.63714285714286,5.319999999999999,2.0885714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2015-01-19,26.332857142857144,25.009999999999998,27.548571428571428,1.11,1.7314285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2015-01-26,26.392857142857142,24.93285714285714,27.73,11.75,2.44,Galle,Gonapinuwala,6.1414262,80.1369452
2015-02-02,26.900000000000002,25.631428571428568,28.08142857142857,27.54,2.402857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2015-02-09,26.857142857142858,25.77285714285714,27.961428571428574,57.35,3.1157142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-02-16,26.794285714285714,25.602857142857143,27.927142857142858,27.08,2.0685714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2015-02-23,26.762857142857143,25.27285714285714,28.111428571428572,15.35,1.9042857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2015-03-02,27.2,26.337142857142858,28.094285714285714,41.33,2.2542857142857144,Galle,Gonapinuwala,6.1414262,80.1369452
2015-03-09,27.81714285714286,26.594285714285714,28.974285714285713,21.44,2.0885714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2015-03-16,27.722857142857144,26.65142857142857,28.784285714285716,48.91,3.1314285714285717,Galle,Gonapinuwala,6.1414262,80.1369452
2015-03-23,27.66142857142857,26.398571428571426,28.944285714285716,23.830000000000002,1.8957142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-03-30,28.052857142857142,26.768571428571427,29.382857142857144,49.39,2.322857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2015-04-06,27.99142857142857,27.292857142857144,28.717142857142857,35.81,2.6614285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2015-04-13,28.09,27.364285714285717,28.821428571428573,89.83,2.48,Galle,Gonapinuwala,6.1414262,80.1369452
2015-04-20,28.117142857142856,27.404285714285717,28.852857142857143,98.82000000000001,2.5614285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2015-04-27,28.204285714285714,27.537142857142857,28.895714285714288,56.91,2.7271428571428573,Galle,Gonapinuwala,6.1414262,80.1369452
2015-05-04,28.235714285714288,27.62857142857143,28.798571428571428,63.72,2.6014285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2015-05-11,27.897142857142857,27.287142857142857,28.46142857142857,84.00999999999999,3.875714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2015-05-18,28.52857142857143,27.987142857142857,29.03857142857143,41.03,4.9314285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2015-05-25,28.25142857142857,27.71,28.798571428571428,22.8,5.372857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
2015-06-01,28.34,27.89428571428571,28.861428571428572,16.58,5.2299999999999995,Galle,Gonapinuwala,6.1414262,80.1369452
2015-06-08,28.05,27.51571428571429,28.57857142857143,46.9,4.537142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-06-15,28.165714285714284,27.63714285714286,28.695714285714285,33.94,4.7700000000000005,Galle,Gonapinuwala,6.1414262,80.1369452
2015-06-22,28.352857142857143,27.92142857142857,28.844285714285714,29.82,5.427142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-06-29,28.225714285714282,27.545714285714286,28.89428571428571,41.56999999999999,4.95,Galle,Gonapinuwala,6.1414262,80.1369452
2015-07-06,28.03857142857143,27.552857142857142,28.58857142857143,16.84,5.698571428571428,Galle,Gonapinuwala,6.1414262,80.1369452
2015-07-13,28.16,27.64428571428571,28.764285714285712,16.24,6.214285714285714,Galle,Gonapinuwala,6.1414262,80.1369452
2015-07-20,27.594285714285714,27.08857142857143,28.139999999999997,41.519999999999996,6.454285714285715,Galle,Gonapinuwala,6.1414262,80.1369452
2015-07-27,27.142857142857142,26.57857142857143,27.78142857142857,40.35,4.505714285714285,Galle,Gonapinuwala,6.1414262,80.1369452
2015-08-03,27.5,26.948571428571427,28.124285714285715,10.35,4.507142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-08-10,27.74857142857143,27.16857142857143,28.31714285714286,36.160000000000004,6.39,Galle,Gonapinuwala,6.1414262,80.1369452
2015-08-17,27.517142857142858,26.939999999999998,28.14428571428571,45.81,5.697142857142857,Galle,Gonapinuwala,6.1414262,80.1369452
2015-08-24,27.624285714285715,27.002857142857145,28.322857142857142,24.3,4.601428571428571,Galle,Gonapinuwala,6.1414262,80.1369452
2015-08-31,27.712857142857143,27.255714285714287,28.365714285714287,52.940000000000005,5.778571428571429,Galle,Gonapinuwala,6.1414262,80.1369452
2015-09-07,27.164285714285715,26.481428571428573,27.782857142857143,74.28,4.445714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2015-09-14,27.624285714285715,27.11285714285714,28.304285714285715,43.31,4.395714285714286,Galle,Gonapinuwala,6.1414262,80.1369452
2015-09-21,27.84714285714286,27.37142857142857,28.318571428571428,65.39999999999999,6.122857142857143,Galle,Gonapinuwala,6.1414262,80.1369452
