week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.042857142857144,25.139999999999997,27.165714285714284,182.97,4.492857142857143,Hambantota,Hambantota,6.1249126,81.1242563
2013-01-14,26.16142857142857,25.05142857142857,27.374285714285715,90.27,4.1899999999999995,Hambantota,Hambantota,6.1249126,81.1242563
2013-01-21,25.88714285714286,24.298571428571428,27.714285714285715,1.69,4.798571428571428,Hambantota,Hambantota,6.1249126,81.1242563
2013-01-28,26.349999999999998,25.302857142857142,27.641428571428573,99.1,5.04,Hambantota,Hambantota,6.1249126,81.1242563
2013-02-04,26.285714285714285,24.814285714285713,28.09714285714286,30.770000000000003,5.1499999999999995,Hambantota,Hambantota,6.1249126,81.1242563
2013-02-11,26.465714285714284,25.54,27.58857142857143,109.57000000000001,3.7585714285714285,Hambantota,Hambantota,6.1249126,81.1242563
2013-02-18,26.447142857142858,25.47,27.554285714285715,151.51,3.4714285714285715,Hambantota,Hambantota,6.1249126,81.1242563
2013-02-25,26.74285714285714,25.110000000000003,28.601428571428574,5.53,4.174285714285714,Hambantota,Hambantota,6.1249126,81.1242563
2013-03-04,26.74142857142857,25.087142857142858,28.49142857142857,46.99,4.0928571428571425,Hambantota,Hambantota,6.1249126,81.1242563
2013-03-11,27.711428571428574,26.674285714285713,28.82857142857143,57.78,4.297142857142857,Hambantota,Hambantota,6.1249126,81.1242563
2013-03-18,27.87857142857143,26.722857142857144,29.085714285714285,43.33,3.2657142857142856,Hambantota,Hambantota,6.1249126,81.1242563
2013-03-25,27.865714285714287,26.71,29.012857142857143,42.05,3.0585714285714287,Hambantota,Hambantota,6.1249126,81.1242563
2013-04-01,28.172857142857143,27.261428571428574,29.277142857142856,36.5,1.4485714285714286,Hambantota,Hambantota,6.1249126,81.1242563
2013-04-08,28.457142857142856,27.384285714285713,29.76571428571429,27.880000000000003,2.8728571428571428,Hambantota,Hambantota,6.1249126,81.1242563
2013-04-15,28.374285714285715,27.584285714285716,29.345714285714287,129.01,2.44,Hambantota,Hambantota,6.1249126,81.1242563
2013-04-22,28.791428571428572,27.657142857142855,30.135714285714283,39.1,3.9200000000000004,Hambantota,Hambantota,6.1249126,81.1242563
2013-04-29,28.462857142857143,27.575714285714287,29.49285714285714,61.16,2.307142857142857,Hambantota,Hambantota,6.1249126,81.1242563
