week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,24.33142857142857,22.57,26.61285714285714,146.74,2.974285714285714,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-01-14,24.41857142857143,22.054285714285715,27.292857142857144,85.15,2.6385714285714283,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-01-21,23.52857142857143,20.084285714285716,27.787142857142857,2.21,2.915714285714286,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-01-28,24.39428571428571,22.374285714285715,27.265714285714285,94.5,3.1714285714285713,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-02-04,24.177142857142858,21.175714285714285,28.192857142857143,27.31,3.1514285714285712,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-02-11,24.64428571428571,22.542857142857144,27.511428571428574,73.53,2.422857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-02-18,24.91857142857143,22.82857142857143,27.72714285714286,126.24000000000001,2.0914285714285716,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-02-25,24.687142857142856,21.17571428571429,29.005714285714284,4.37,2.5714285714285716,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-03-04,24.724285714285713,21.28142857142857,28.734285714285715,32.730000000000004,2.707142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-03-11,25.954285714285714,23.740000000000002,28.99857142857143,52.43,2.55,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-03-18,26.13,23.487142857142857,29.47,37.59,1.987142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-03-25,26.020000000000003,23.08142857142857,29.388571428571428,34.72,1.9385714285714286,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-04-01,26.934285714285714,24.68857142857143,30.177142857142858,24.86,1.0471428571428572,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-04-08,26.974285714285713,24.140000000000004,30.732857142857142,17.17,1.48,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-04-15,26.874285714285715,24.745714285714286,29.768571428571427,123.49,1.5814285714285714,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-04-22,27.17142857142857,24.111428571428572,30.98,27.28,2.197142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-04-29,27.125714285714285,24.79714285714286,30.305714285714288,58.26,1.397142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-05-06,26.33857142857143,24.44,28.97714285714286,63.78,2.117142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-05-13,26.640000000000004,24.908571428571427,29.15857142857143,70.11,3.218571428571429,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-05-20,26.434285714285714,24.669999999999998,28.96142857142857,58.74,3.6671428571428573,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-05-27,26.18,24.604285714285712,28.7,15.27,4.662857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-06-03,25.851428571428574,24.215714285714284,28.315714285714286,52.77,4.412857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-06-10,25.62,23.890000000000004,28.25,31.29,4.434285714285714,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-06-17,25.52,23.448571428571427,28.521428571428572,35.01,4.738571428571428,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-06-24,25.59857142857143,23.47142857142857,28.79,26.34,4.374285714285714,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-07-01,25.454285714285714,23.607142857142858,28.33285714285714,62.25,3.6999999999999997,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-07-08,25.187142857142856,23.481428571428573,27.984285714285715,42.55,4.085714285714286,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-07-15,25.27,23.108571428571427,28.562857142857144,17.04,3.865714285714286,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-07-22,25.24142857142857,23.624285714285715,27.861428571428572,25.36,4.215714285714285,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-07-29,25.354285714285712,23.511428571428574,28.225714285714286,47.86,3.7328571428571427,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-08-05,25.527142857142856,23.592857142857145,28.664285714285715,9.93,4.385714285714285,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-08-12,25.435714285714287,22.96857142857143,29.314285714285713,6.07,3.9642857142857144,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-08-19,25.731428571428573,23.33857142857143,29.47,3.19,4.0200000000000005,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-08-26,26.18857142857143,23.775714285714287,30.071428571428573,4.859999999999999,4.12,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-09-02,25.7,23.57857142857143,28.747142857142855,37.11,2.8742857142857146,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-09-09,25.295714285714286,23.231428571428573,28.615714285714287,50.95,3.992857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-09-16,25.714285714285715,23.635714285714283,29.181428571428572,51.940000000000005,4.997142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-09-23,26.035714285714285,23.915714285714284,29.490000000000002,30.799999999999997,4.535714285714286,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-09-30,26.295714285714286,22.971428571428568,31.024285714285714,0.37,3.724285714285714,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-10-07,25.964285714285715,23.16,29.78,9.59,3.71,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-10-14,26.16714285714286,23.774285714285718,29.889999999999997,21.69,4.112857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-10-21,25.64428571428571,23.524285714285714,28.825714285714287,82.62,3.0385714285714287,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-10-28,25.735714285714288,23.805714285714284,28.62857142857143,43.480000000000004,3.3842857142857143,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-11-04,25.535714285714285,23.385714285714283,28.557142857142857,73.15,1.8085714285714285,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-11-11,25.56142857142857,22.35571428571429,29.42571428571429,38.379999999999995,1.987142857142857,Hambantota,Tissamaharamaya,6.2847222,81.2861111
2013-11-18,25.842857142857145,22.881428571428568,29.56142857142857,21.05,1.4914285714285713,Hambantota,Tissamaharamaya,6.2847222,81.2861111
