week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.76142857142857,25.842857142857145,27.842857142857145,25.46,4.747142857142857,Jaffna,Delft,9.5152572,79.6904358
2013-01-14,26.10571428571429,25.268571428571427,27.110000000000003,79.64999999999999,5.562857142857142,Jaffna,Delft,9.5152572,79.6904358
2013-01-21,25.81142857142857,24.68857142857143,27.17142857142857,2.09,5.107142857142857,Jaffna,Delft,9.5152572,79.6904358
2013-01-28,26.074285714285715,25.12,27.349999999999998,2.44,5.898571428571429,Jaffna,Delft,9.5152572,79.6904358
2013-02-04,25.87142857142857,24.684285714285714,27.31714285714286,18.97,5.502857142857144,Jaffna,Delft,9.5152572,79.6904358
2013-02-11,26.804285714285715,25.73857142857143,28.325714285714287,31.83,4.671428571428572,Jaffna,Delft,9.5152572,79.6904358
2013-02-18,26.98428571428571,25.762857142857143,28.238571428571426,68.13,3.9214285714285713,Jaffna,Delft,9.5152572,79.6904358
2013-02-25,26.512857142857143,25.292857142857144,28.08857142857143,10.14,4.664285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-03-04,26.975714285714282,25.568571428571428,28.677142857142858,30.63,5.1000000000000005,Jaffna,Delft,9.5152572,79.6904358
2013-03-11,27.56714285714286,26.47,28.931428571428572,46.27,4.602857142857142,Jaffna,Delft,9.5152572,79.6904358
2013-03-18,27.56142857142857,25.875714285714285,29.482857142857142,12.13,3.6242857142857146,Jaffna,Delft,9.5152572,79.6904358
2013-03-25,27.774285714285714,25.842857142857145,29.825714285714287,15.18,3.052857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-04-01,28.925714285714285,27.142857142857142,30.575714285714287,9.72,2.4628571428571426,Jaffna,Delft,9.5152572,79.6904358
2013-04-08,29.47,27.777142857142856,31.150000000000002,1.69,3.9314285714285715,Jaffna,Delft,9.5152572,79.6904358
2013-04-15,29.625714285714285,27.99142857142857,31.164285714285715,21.29,2.89,Jaffna,Delft,9.5152572,79.6904358
2013-04-22,29.885714285714283,28.372857142857146,31.595714285714287,2.89,4.74,Jaffna,Delft,9.5152572,79.6904358
2013-04-29,29.84,28.294285714285714,31.358571428571427,10.3,3.1057142857142854,Jaffna,Delft,9.5152572,79.6904358
2013-05-06,29.585714285714285,28.542857142857144,30.707142857142856,25.740000000000002,4.134285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-05-13,30.027142857142856,28.83857142857143,31.45714285714286,35.36,5.224285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-05-20,29.455714285714286,28.455714285714286,30.802857142857142,6.21,6.67,Jaffna,Delft,9.5152572,79.6904358
2013-05-27,29.198571428571427,28.287142857142857,30.358571428571427,1.33,7.545714285714285,Jaffna,Delft,9.5152572,79.6904358
2013-06-03,29.035714285714285,28.011428571428574,30.13714285714286,4.81,7.022857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-06-10,29.175714285714285,28.13714285714286,30.56714285714286,4.63,6.711428571428571,Jaffna,Delft,9.5152572,79.6904358
2013-06-17,29.23,28.018571428571427,30.805714285714284,0.6,8.264285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-06-24,29.104285714285712,27.650000000000002,30.78857142857143,1.26,7.075714285714286,Jaffna,Delft,9.5152572,79.6904358
2013-07-01,28.49857142857143,27.574285714285715,29.795714285714286,4.21,6.687142857142858,Jaffna,Delft,9.5152572,79.6904358
2013-07-08,28.555714285714284,27.458571428571428,30.072857142857142,7.16,6.154285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-07-15,28.93285714285714,27.812857142857144,30.27,1.62,5.938571428571429,Jaffna,Delft,9.5152572,79.6904358
2013-07-22,28.614285714285717,27.592857142857145,29.927142857142858,2.37,7.385714285714286,Jaffna,Delft,9.5152572,79.6904358
2013-07-29,28.525714285714287,27.465714285714284,30.06,0.99,7.2128571428571435,Jaffna,Delft,9.5152572,79.6904358
2013-08-05,28.91,27.505714285714284,30.59714285714286,2.06,6.932857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-08-12,28.255714285714284,27.240000000000002,29.632857142857144,28.18,4.417142857142857,Jaffna,Delft,9.5152572,79.6904358
2013-08-19,28.224285714285713,27.147142857142857,29.884285714285713,10.18,6.057142857142857,Jaffna,Delft,9.5152572,79.6904358
2013-08-26,28.707142857142856,27.565714285714286,30.48428571428571,0.97,6.162857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-09-02,28.877142857142854,27.407142857142855,30.63,16.47,3.258571428571429,Jaffna,Delft,9.5152572,79.6904358
2013-09-09,27.669999999999998,26.74285714285714,28.774285714285714,91.77,5.728571428571429,Jaffna,Delft,9.5152572,79.6904358
2013-09-16,28.037142857142857,27.084285714285716,29.314285714285713,10.860000000000001,7.692857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-09-23,28.51571428571429,27.381428571428568,30.034285714285716,1.78,7.7871428571428565,Jaffna,Delft,9.5152572,79.6904358
2013-09-30,28.425714285714285,27.305714285714284,30.00142857142857,0.34,6.4071428571428575,Jaffna,Delft,9.5152572,79.6904358
2013-10-07,28.38,27.185714285714287,30.195714285714285,0.6699999999999999,6.572857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-10-14,28.395714285714288,27.357142857142858,29.972857142857144,8.34,5.855714285714286,Jaffna,Delft,9.5152572,79.6904358
2013-10-21,27.66142857142857,26.599999999999998,28.874285714285715,61.61,3.1814285714285715,Jaffna,Delft,9.5152572,79.6904358
2013-10-28,28.240000000000002,27.155714285714286,29.794285714285714,12.98,5.9471428571428575,Jaffna,Delft,9.5152572,79.6904358
2013-11-04,27.897142857142857,27.062857142857144,28.798571428571428,57.1,3.732857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-11-11,27.975714285714286,26.90285714285714,29.268571428571427,55.599999999999994,5.484285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-11-18,27.181428571428572,26.232857142857142,28.404285714285713,31.09,5.421428571428572,Jaffna,Delft,9.5152572,79.6904358
2013-11-25,27.31142857142857,26.14428571428571,28.641428571428573,29.77,3.132857142857143,Jaffna,Delft,9.5152572,79.6904358
2013-12-02,26.86285714285714,25.77857142857143,28.197142857142858,66.72,4.194285714285714,Jaffna,Delft,9.5152572,79.6904358
2013-12-09,26.524285714285718,25.614285714285717,27.65285714285714,61.56,6.05,Jaffna,Delft,9.5152572,79.6904358
2013-12-16,26.264285714285712,25.17142857142857,27.52285714285714,29.97,3.9771428571428573,Jaffna,Delft,9.5152572,79.6904358
2013-12-23,25.752857142857142,24.795714285714286,27.072857142857142,0.66,5.457142857142857,Jaffna,Delft,9.5152572,79.6904358
2013-12-30,25.958571428571428,24.77285714285714,27.512857142857143,1.1300000000000001,5.352857142857142,Jaffna,Delft,9.5152572,79.6904358
2014-01-06,25.599999999999998,24.795714285714286,26.684285714285714,37.879999999999995,6.668571428571428,Jaffna,Delft,9.5152572,79.6904358
2014-01-13,25.587142857142858,24.662857142857142,26.79,49.03,5.508571428571429,Jaffna,Delft,9.5152572,79.6904358
2014-01-20,25.755714285714284,24.654285714285717,27.21857142857143,6.5200000000000005,5.317142857142857,Jaffna,Delft,9.5152572,79.6904358
2014-01-27,25.842857142857145,24.725714285714282,27.385714285714283,1.1300000000000001,5.844285714285713,Jaffna,Delft,9.5152572,79.6904358
2014-02-03,26.032857142857143,24.964285714285715,27.557142857142857,8.26,6.144285714285714,Jaffna,Delft,9.5152572,79.6904358
2014-02-10,25.548571428571428,23.74857142857143,27.759999999999998,0.0,4.301428571428572,Jaffna,Delft,9.5152572,79.6904358
2014-02-17,26.62,24.675714285714285,28.731428571428573,0.01,3.4457142857142853,Jaffna,Delft,9.5152572,79.6904358
2014-02-24,27.021428571428572,25.604285714285712,28.915714285714284,5.16,5.398571428571429,Jaffna,Delft,9.5152572,79.6904358
2014-03-03,27.474285714285713,25.88,29.50714285714286,5.21,4.994285714285715,Jaffna,Delft,9.5152572,79.6904358
2014-03-10,27.802857142857142,26.495714285714286,29.61285714285714,1.05,5.265714285714286,Jaffna,Delft,9.5152572,79.6904358
2014-03-17,27.72142857142857,26.157142857142855,29.82,0.27,5.427142857142857,Jaffna,Delft,9.5152572,79.6904358
2014-03-24,28.97714285714286,26.642857142857142,31.844285714285714,0.62,3.8757142857142854,Jaffna,Delft,9.5152572,79.6904358
2014-03-31,29.05857142857143,26.398571428571433,32.15714285714286,0.06,3.8885714285714283,Jaffna,Delft,9.5152572,79.6904358
2014-04-07,30.21142857142857,27.66,32.962857142857146,1.85,2.992857142857143,Jaffna,Delft,9.5152572,79.6904358
2014-04-14,30.025714285714287,28.325714285714287,31.867142857142856,6.01,3.5142857142857147,Jaffna,Delft,9.5152572,79.6904358
2014-04-21,30.23857142857143,28.172857142857143,32.325714285714284,8.03,2.738571428571429,Jaffna,Delft,9.5152572,79.6904358
2014-04-28,30.294285714285714,28.639999999999997,32.06142857142857,7.25,2.794285714285714,Jaffna,Delft,9.5152572,79.6904358
2014-05-05,29.185714285714287,27.99285714285714,30.54714285714286,76.56,3.8242857142857143,Jaffna,Delft,9.5152572,79.6904358
2014-05-12,29.124285714285715,28.16857142857143,30.37142857142857,55.44,5.7628571428571425,Jaffna,Delft,9.5152572,79.6904358
2014-05-19,29.740000000000002,28.669999999999998,31.074285714285715,1.1300000000000001,5.247142857142857,Jaffna,Delft,9.5152572,79.6904358
2014-05-26,29.599999999999998,28.654285714285713,30.907142857142855,3.71,6.827142857142857,Jaffna,Delft,9.5152572,79.6904358
2014-06-02,29.572857142857142,28.54,30.981428571428573,5.12,6.441428571428572,Jaffna,Delft,9.5152572,79.6904358
2014-06-09,29.76142857142857,28.575714285714287,31.217142857142857,2.2,6.508571428571429,Jaffna,Delft,9.5152572,79.6904358
2014-06-16,30.051428571428573,28.745714285714286,31.57857142857143,1.04,6.22,Jaffna,Delft,9.5152572,79.6904358
2014-06-23,29.68285714285714,28.43285714285714,31.255714285714284,1.49,7.0200000000000005,Jaffna,Delft,9.5152572,79.6904358
2014-06-30,29.334285714285716,28.234285714285715,31.074285714285715,1.55,6.75,Jaffna,Delft,9.5152572,79.6904358
2014-07-07,29.415714285714284,28.284285714285716,30.821428571428573,5.24,5.252857142857143,Jaffna,Delft,9.5152572,79.6904358
2014-07-14,29.79,28.335714285714285,31.452857142857145,0.88,7.235714285714286,Jaffna,Delft,9.5152572,79.6904358
2014-07-21,29.28857142857143,28.04,30.78857142857143,0.36,7.337142857142857,Jaffna,Delft,9.5152572,79.6904358
