week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.74857142857143,25.82,27.68142857142857,53.019999999999996,4.622857142857143,Kilinochchi,Palai,9.6105976,80.3310748
2013-01-14,26.07857142857143,25.262857142857143,27.004285714285714,98.3,5.257142857142857,Kilinochchi,Palai,9.6105976,80.3310748
2013-01-21,25.74142857142857,24.69142857142857,26.97714285714286,2.52,4.768571428571429,Kilinochchi,Palai,9.6105976,80.3310748
2013-01-28,26.055714285714284,25.225714285714286,27.16142857142857,6.5200000000000005,5.601428571428571,Kilinochchi,Palai,9.6105976,80.3310748
2013-02-04,25.837142857142858,24.740000000000002,27.138571428571428,39.37,5.1657142857142855,Kilinochchi,Palai,9.6105976,80.3310748
2013-02-11,26.697142857142858,25.830000000000002,27.987142857142857,42.14,4.422857142857143,Kilinochchi,Palai,9.6105976,80.3310748
2013-02-18,26.80857142857143,25.684285714285714,28.00857142857143,100.71000000000001,3.5885714285714285,Kilinochchi,Palai,9.6105976,80.3310748
2013-02-25,26.351428571428574,25.294285714285714,27.74285714285714,7.87,4.32,Kilinochchi,Palai,9.6105976,80.3310748
2013-03-04,26.754285714285714,25.50714285714286,28.228571428571428,39.26,4.765714285714286,Kilinochchi,Palai,9.6105976,80.3310748
2013-03-11,27.391428571428573,26.43,28.58285714285714,48.34,4.3914285714285715,Kilinochchi,Palai,9.6105976,80.3310748
2013-03-18,27.238571428571426,25.874285714285715,28.857142857142858,11.98,3.505714285714286,Kilinochchi,Palai,9.6105976,80.3310748
2013-03-25,27.345714285714287,25.79,29.082857142857144,18.880000000000003,2.992857142857143,Kilinochchi,Palai,9.6105976,80.3310748
2013-04-01,28.445714285714285,26.791428571428572,30.187142857142856,17.2,2.424285714285714,Kilinochchi,Palai,9.6105976,80.3310748
2013-04-08,28.907142857142855,26.93,31.005714285714284,2.83,3.295714285714286,Kilinochchi,Palai,9.6105976,80.3310748
2013-04-15,28.981428571428573,27.47714285714286,30.505714285714284,28.28,2.902857142857143,Kilinochchi,Palai,9.6105976,80.3310748
2013-04-22,29.541428571428572,27.504285714285714,31.8,7.24,3.7985714285714285,Kilinochchi,Palai,9.6105976,80.3310748
2013-04-29,29.47142857142857,27.944285714285716,31.108571428571427,16.150000000000002,2.718571428571429,Kilinochchi,Palai,9.6105976,80.3310748
2013-05-06,29.238571428571426,27.99142857142857,30.524285714285714,38.68,3.4071428571428575,Kilinochchi,Palai,9.6105976,80.3310748
2013-05-13,29.740000000000002,28.23428571428571,31.645714285714288,53.379999999999995,4.678571428571429,Kilinochchi,Palai,9.6105976,80.3310748
2013-05-20,29.01142857142857,27.554285714285715,31.08857142857143,18.21,6.088571428571428,Kilinochchi,Palai,9.6105976,80.3310748
2013-05-27,28.897142857142857,27.702857142857145,30.675714285714285,1.97,7.26,Kilinochchi,Palai,9.6105976,80.3310748
2013-06-03,28.62857142857143,27.572857142857142,30.03142857142857,11.49,6.778571428571429,Kilinochchi,Palai,9.6105976,80.3310748
2013-06-10,28.764285714285712,27.552857142857142,30.49285714285714,12.78,6.497142857142856,Kilinochchi,Palai,9.6105976,80.3310748
2013-06-17,28.91,27.560000000000002,30.641428571428573,5.54,8.132857142857143,Kilinochchi,Palai,9.6105976,80.3310748
