week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,25.368571428571432,23.49285714285714,27.689999999999998,54.12,4.151428571428571,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-01-14,24.974285714285713,22.728571428571428,27.552857142857142,78.13,4.34,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-01-21,24.245714285714286,21.145714285714288,27.994285714285716,1.24,4.1899999999999995,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-01-28,25.07857142857143,22.837142857142858,28.25714285714286,21.04,4.888571428571429,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-02-04,24.872857142857146,21.775714285714287,28.78,7.48,4.538571428571428,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-02-11,25.857142857142858,23.364285714285717,29.087142857142858,33.74,3.2085714285714286,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-02-18,25.92142857142857,23.50857142857143,28.725714285714282,60.26,2.682857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-02-25,25.367142857142856,21.931428571428572,29.37,13.63,3.7399999999999998,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-03-04,25.442857142857143,22.071428571428573,29.354285714285712,18.830000000000002,3.7728571428571427,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-03-11,26.882857142857144,24.195714285714285,30.07857142857143,28.41,2.914285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-03-18,26.99857142857143,24.032857142857143,30.351428571428574,35.9,2.067142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-03-25,27.194285714285716,24.05,30.65142857142857,37.730000000000004,2.1671428571428573,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-04-01,27.722857142857144,25.935714285714287,29.93857142857143,34.94,1.6157142857142859,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-04-08,27.981428571428573,25.695714285714285,30.75714285714286,10.74,2.307142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-04-15,27.725714285714282,25.37714285714286,30.184285714285714,67.32,1.9314285714285713,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-04-22,27.99857142857143,25.931428571428572,30.685714285714287,13.43,3.032857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-04-29,28.018571428571427,26.16714285714286,30.32857142857143,36.34,1.9657142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-05-06,27.564285714285713,26.21142857142857,29.454285714285714,74.23,3.1271428571428572,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-05-13,27.889999999999997,26.615714285714287,29.601428571428574,38.53,4.101428571428571,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-05-20,27.485714285714288,26.23,29.277142857142856,36.66,4.694285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-05-27,27.424285714285713,26.34714285714286,29.082857142857144,8.33,5.747142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-06-03,27.072857142857142,26.034285714285716,28.535714285714285,56.25,5.951428571428571,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-06-10,26.698571428571427,25.624285714285715,28.31142857142857,37.46,5.725714285714285,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-06-17,26.45,25.332857142857144,28.132857142857144,48.61,6.054285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-06-24,26.377142857142854,25.198571428571427,28.06857142857143,40.19,5.76,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-07-01,26.24142857142857,25.077142857142857,27.937142857142856,25.86,4.691428571428572,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-07-08,26.222857142857144,24.922857142857143,28.07857142857143,21.67,5.225714285714285,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-07-15,26.018571428571427,24.857142857142858,27.687142857142856,13.93,4.845714285714286,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-07-22,26.08857142857143,25.034285714285716,27.73857142857143,19.43,5.275714285714286,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-07-29,26.124285714285715,24.891428571428573,28.018571428571427,31.919999999999998,4.5842857142857145,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-08-05,26.19142857142857,24.900000000000002,28.045714285714286,18.23,5.528571428571429,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-08-12,25.849999999999998,24.724285714285713,27.67142857142857,11.94,4.984285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-08-19,26.139999999999997,24.74857142857143,28.312857142857144,2.9,4.758571428571429,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-08-26,26.642857142857142,25.09,28.974285714285713,2.05,4.93,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-09-02,26.404285714285717,25.074285714285715,28.46857142857143,32.01,3.3771428571428572,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-09-09,26.141428571428573,24.835714285714285,28.014285714285712,48.400000000000006,4.972857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-09-16,26.28857142857143,25.044285714285714,28.232857142857142,54.9,5.981428571428571,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-09-23,26.635714285714283,25.330000000000002,28.551428571428573,20.61,5.514285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-09-30,26.897142857142857,24.91142857142857,29.78,0.44999999999999996,4.267142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-10-07,26.75,25.074285714285715,29.247142857142855,6.56,4.378571428571428,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-10-14,27.03142857142857,25.481428571428573,29.295714285714286,18.12,4.728571428571429,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-10-21,26.312857142857144,24.927142857142858,28.24142857142857,113.47,3.4771428571428573,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-10-28,26.66857142857143,25.208571428571425,28.712857142857143,9.93,4.077142857142857,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-11-04,26.400000000000002,24.59857142857143,28.73428571428571,64.03,2.0442857142857145,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-11-11,26.509999999999998,23.50142857142857,30.177142857142858,38.61,3.212857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-11-18,26.228571428571428,23.91142857142857,29.084285714285716,30.11,2.5814285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-11-25,26.555714285714284,23.87857142857143,29.42142857142857,64.76,2.314285714285714,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-12-02,25.84714285714286,23.304285714285715,28.725714285714282,45.26,2.942857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-12-09,25.762857142857143,24.01142857142857,28.214285714285715,22.47,4.035714285714286,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-12-16,25.777142857142856,23.382857142857144,28.632857142857144,32.73,2.7342857142857144,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-12-23,25.212857142857143,22.715714285714284,28.68857142857143,1.91,4.8428571428571425,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2013-12-30,24.818571428571428,21.83857142857143,28.599999999999998,1.58,4.591428571428572,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
2014-01-06,25.145714285714288,22.520000000000003,28.73857142857143,7.91,4.222857142857143,Kurunegala,Panduwasnuwara East,7.6091667,80.1286111
