week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.13,24.715714285714284,27.73857142857143,76.28999999999999,2.092857142857143,Matara,MC Matara,5.94851,80.5353
2013-01-14,26.231428571428573,24.607142857142858,28.080000000000002,52.8,2.642857142857143,Matara,MC Matara,5.94851,80.5353
2013-01-21,25.725714285714286,23.294285714285714,28.354285714285712,0.67,2.9514285714285715,Matara,MC Matara,5.94851,80.5353
2013-01-28,26.31142857142857,24.592857142857145,28.458571428571428,33.82,3.2714285714285714,Matara,MC Matara,5.94851,80.5353
2013-02-04,26.195714285714285,23.802857142857142,28.97,8.37,3.4214285714285713,Matara,MC Matara,5.94851,80.5353
2013-02-11,26.38,24.91142857142857,28.099999999999998,48.49,2.814285714285714,Matara,MC Matara,5.94851,80.5353
2013-02-18,26.21857142857143,24.684285714285714,28.052857142857142,110.73,3.3085714285714287,Matara,MC Matara,5.94851,80.5353
2013-02-25,26.657142857142855,24.228571428571428,29.284285714285716,9.51,2.3942857142857146,Matara,MC Matara,5.94851,80.5353
2013-03-04,26.77857142857143,24.59857142857143,29.045714285714286,25.63,1.9157142857142857,Matara,MC Matara,5.94851,80.5353
2013-03-11,27.467142857142857,25.795714285714286,29.32857142857143,42.5,3.692857142857143,Matara,MC Matara,5.94851,80.5353
2013-03-18,27.702857142857145,26.101428571428574,29.571428571428573,47.82,2.5928571428571425,Matara,MC Matara,5.94851,80.5353
2013-03-25,27.677142857142858,26.118571428571432,29.511428571428574,37.9,2.005714285714286,Matara,MC Matara,5.94851,80.5353
2013-04-01,27.875714285714285,26.645714285714288,29.595714285714283,31.45,1.4657142857142857,Matara,MC Matara,5.94851,80.5353
2013-04-08,28.107142857142858,26.634285714285713,29.94,15.03,2.5714285714285716,Matara,MC Matara,5.94851,80.5353
2013-04-15,28.09,26.881428571428568,29.614285714285717,94.39,2.2014285714285715,Matara,MC Matara,5.94851,80.5353
2013-04-22,28.351428571428574,26.98428571428571,30.174285714285713,12.04,3.307142857142857,Matara,MC Matara,5.94851,80.5353
2013-04-29,28.15857142857143,26.987142857142857,29.722857142857144,69.0,2.1785714285714284,Matara,MC Matara,5.94851,80.5353
2013-05-06,27.352857142857143,26.431428571428572,28.52857142857143,65.85,3.61,Matara,MC Matara,5.94851,80.5353
2013-05-13,27.854285714285712,27.04714285714286,28.87,50.5,5.571428571428571,Matara,MC Matara,5.94851,80.5353
2013-05-20,27.341428571428573,26.57857142857143,28.435714285714287,57.34,5.007142857142857,Matara,MC Matara,5.94851,80.5353
2013-05-27,27.277142857142856,26.565714285714286,28.344285714285714,14.56,5.678571428571429,Matara,MC Matara,5.94851,80.5353
2013-06-03,27.03142857142857,26.315714285714286,28.104285714285716,64.41,5.8757142857142854,Matara,MC Matara,5.94851,80.5353
2013-06-10,26.807142857142857,26.11428571428571,27.844285714285714,42.559999999999995,6.055714285714286,Matara,MC Matara,5.94851,80.5353
2013-06-17,26.73428571428571,25.891428571428573,27.90142857142857,54.5,6.232857142857142,Matara,MC Matara,5.94851,80.5353
2013-06-24,26.547142857142855,25.697142857142858,27.807142857142857,28.450000000000003,5.948571428571428,Matara,MC Matara,5.94851,80.5353
2013-07-01,26.32,25.482857142857142,27.532857142857143,48.629999999999995,4.498571428571428,Matara,MC Matara,5.94851,80.5353
2013-07-08,26.201428571428572,25.494285714285716,27.34,38.6,5.494285714285715,Matara,MC Matara,5.94851,80.5353
2013-07-15,26.108571428571427,25.18857142857143,27.408571428571427,20.14,5.158571428571428,Matara,MC Matara,5.94851,80.5353
2013-07-22,26.327142857142857,25.66,27.34,32.760000000000005,5.1657142857142855,Matara,MC Matara,5.94851,80.5353
2013-07-29,26.437142857142856,25.66857142857143,27.53142857142857,64.15,4.557142857142857,Matara,MC Matara,5.94851,80.5353
2013-08-05,26.52285714285714,25.75142857142857,27.67571428571429,14.870000000000001,5.978571428571429,Matara,MC Matara,5.94851,80.5353
2013-08-12,26.025714285714287,25.12142857142857,27.475714285714286,2.9499999999999997,5.687142857142858,Matara,MC Matara,5.94851,80.5353
2013-08-19,26.16142857142857,25.114285714285717,27.645714285714284,4.63,4.535714285714286,Matara,MC Matara,5.94851,80.5353
2013-08-26,26.58285714285714,25.63714285714286,28.065714285714286,5.94,5.058571428571428,Matara,MC Matara,5.94851,80.5353
2013-09-02,26.142857142857142,25.095714285714287,27.53857142857143,29.59,3.6685714285714286,Matara,MC Matara,5.94851,80.5353
2013-09-09,26.351428571428574,25.467142857142857,27.66,49.71,5.137142857142857,Matara,MC Matara,5.94851,80.5353
2013-09-16,26.552857142857142,25.70285714285714,27.895714285714284,69.22,5.988571428571428,Matara,MC Matara,5.94851,80.5353
2013-09-23,26.657142857142855,25.8,27.982857142857142,47.449999999999996,5.29,Matara,MC Matara,5.94851,80.5353
2013-09-30,26.78,25.398571428571426,28.66,0.61,4.327142857142857,Matara,MC Matara,5.94851,80.5353
2013-10-07,26.735714285714288,25.704285714285714,28.26571428571429,15.27,4.542857142857143,Matara,MC Matara,5.94851,80.5353
2013-10-14,26.87142857142857,25.93,28.29,32.5,5.134285714285714,Matara,MC Matara,5.94851,80.5353
2013-10-21,26.444285714285716,25.485714285714288,27.737142857142857,58.5,4.827142857142857,Matara,MC Matara,5.94851,80.5353
2013-10-28,26.75857142857143,25.874285714285715,28.05857142857143,32.82,4.26,Matara,MC Matara,5.94851,80.5353
2013-11-04,26.37,25.198571428571427,27.86285714285714,77.9,2.5542857142857143,Matara,MC Matara,5.94851,80.5353
2013-11-11,27.158571428571427,25.205714285714286,29.502857142857145,48.1,2.3385714285714285,Matara,MC Matara,5.94851,80.5353
2013-11-18,26.978571428571428,25.382857142857144,28.891428571428573,21.689999999999998,2.577142857142857,Matara,MC Matara,5.94851,80.5353
2013-11-25,26.844285714285714,25.555714285714284,28.482857142857142,60.55,1.6757142857142857,Matara,MC Matara,5.94851,80.5353
2013-12-02,26.427142857142858,25.147142857142857,28.02,42.15,2.06,Matara,MC Matara,5.94851,80.5353
2013-12-09,26.474285714285713,25.174285714285713,28.228571428571428,30.13,3.5414285714285714,Matara,MC Matara,5.94851,80.5353
2013-12-16,26.00857142857143,24.208571428571428,28.00857142857143,29.96,2.6057142857142854,Matara,MC Matara,5.94851,80.5353
2013-12-23,26.032857142857143,24.284285714285716,28.292857142857144,9.18,3.3300000000000005,Matara,MC Matara,5.94851,80.5353
2013-12-30,25.665714285714284,23.61285714285714,28.027142857142856,14.66,3.2485714285714287,Matara,MC Matara,5.94851,80.5353
2014-01-06,25.93142857142857,23.851428571428574,28.398571428571426,1.33,2.498571428571428,Matara,MC Matara,5.94851,80.5353
2014-01-13,26.154285714285713,24.214285714285715,28.51571428571429,21.56,2.6385714285714283,Matara,MC Matara,5.94851,80.5353
2014-01-20,26.101428571428574,24.164285714285715,28.48857142857143,18.48,3.1914285714285713,Matara,MC Matara,5.94851,80.5353
2014-01-27,25.85571428571429,23.541428571428572,28.7,0.63,4.0371428571428565,Matara,MC Matara,5.94851,80.5353
2014-02-03,26.162857142857145,23.97,28.99142857142857,19.36,3.657142857142857,Matara,MC Matara,5.94851,80.5353
2014-02-10,25.782857142857143,22.802857142857142,28.88714285714286,0.0,2.8185714285714285,Matara,MC Matara,5.94851,80.5353
2014-02-17,26.514285714285712,24.032857142857143,29.337142857142855,0.03,2.0485714285714285,Matara,MC Matara,5.94851,80.5353
2014-02-24,27.361428571428572,25.17571428571429,29.962857142857143,19.3,3.6714285714285713,Matara,MC Matara,5.94851,80.5353
2014-03-03,27.28,25.16142857142857,29.915714285714284,5.92,3.8485714285714288,Matara,MC Matara,5.94851,80.5353
2014-03-10,27.415714285714284,25.322857142857142,30.03142857142857,20.459999999999997,4.191428571428571,Matara,MC Matara,5.94851,80.5353
2014-03-17,27.434285714285714,24.60571428571429,30.827142857142857,4.13,4.090000000000001,Matara,MC Matara,5.94851,80.5353
2014-03-24,27.335714285714285,25.375714285714285,29.86285714285714,54.33,3.3242857142857143,Matara,MC Matara,5.94851,80.5353
2014-03-31,27.650000000000002,24.777142857142856,30.931428571428572,7.62,3.222857142857143,Matara,MC Matara,5.94851,80.5353
2014-04-07,27.868571428571425,26.140000000000004,30.111428571428572,30.81,3.037142857142857,Matara,MC Matara,5.94851,80.5353
2014-04-14,27.974285714285713,26.535714285714285,29.900000000000002,19.36,2.812857142857143,Matara,MC Matara,5.94851,80.5353
2014-04-21,27.897142857142857,26.615714285714287,29.66142857142857,16.81,2.7342857142857144,Matara,MC Matara,5.94851,80.5353
2014-04-28,27.81142857142857,26.655714285714286,29.439999999999998,47.96,2.6885714285714286,Matara,MC Matara,5.94851,80.5353
2014-05-05,27.390000000000004,26.345714285714287,28.77285714285714,71.88,2.5157142857142856,Matara,MC Matara,5.94851,80.5353
2014-05-12,27.58857142857143,26.62714285714286,28.844285714285714,51.84,3.597142857142857,Matara,MC Matara,5.94851,80.5353
2014-05-19,28.020000000000003,26.872857142857146,29.632857142857144,5.58,4.468571428571429,Matara,MC Matara,5.94851,80.5353
2014-05-26,27.79,26.825714285714287,29.142857142857142,19.57,4.78,Matara,MC Matara,5.94851,80.5353
2014-06-02,27.625714285714285,26.768571428571427,28.88,63.38,4.981428571428572,Matara,MC Matara,5.94851,80.5353
2014-06-09,27.52285714285714,26.62142857142857,28.934285714285714,43.67,5.902857142857143,Matara,MC Matara,5.94851,80.5353
2014-06-16,27.7,26.82,29.102857142857143,20.77,5.590000000000001,Matara,MC Matara,5.94851,80.5353
2014-06-23,27.740000000000002,26.787142857142857,29.23857142857143,12.48,5.997142857142857,Matara,MC Matara,5.94851,80.5353
2014-06-30,27.527142857142856,26.57857142857143,29.018571428571427,15.08,5.7457142857142856,Matara,MC Matara,5.94851,80.5353
2014-07-07,27.267142857142858,26.310000000000002,28.68,15.57,5.8757142857142854,Matara,MC Matara,5.94851,80.5353
2014-07-14,26.934285714285714,25.905714285714286,28.50142857142857,10.280000000000001,5.825714285714286,Matara,MC Matara,5.94851,80.5353
2014-07-21,27.12285714285714,26.020000000000003,28.915714285714284,2.81,5.268571428571428,Matara,MC Matara,5.94851,80.5353
2014-07-28,27.21,26.071428571428573,28.964285714285715,16.54,5.702857142857143,Matara,MC Matara,5.94851,80.5353
2014-08-04,26.888571428571428,25.834285714285716,28.524285714285718,57.4,5.934285714285714,Matara,MC Matara,5.94851,80.5353
2014-08-11,26.71,25.54,28.407142857142855,25.18,5.134285714285714,Matara,MC Matara,5.94851,80.5353
2014-08-18,26.43285714285714,25.424285714285713,27.990000000000002,66.4,5.738571428571428,Matara,MC Matara,5.94851,80.5353
2014-08-25,26.584285714285716,25.722857142857144,27.94142857142857,71.11999999999999,4.562857142857142,Matara,MC Matara,5.94851,80.5353
2014-09-01,27.14428571428571,26.004285714285714,28.877142857142854,6.22,4.957142857142857,Matara,MC Matara,5.94851,80.5353
2014-09-08,26.734285714285715,25.947142857142858,27.93,32.23,4.7,Matara,MC Matara,5.94851,80.5353
2014-09-15,27.00714285714286,26.057142857142857,28.490000000000002,50.41,5.8100000000000005,Matara,MC Matara,5.94851,80.5353
2014-09-22,26.982857142857142,25.98,28.59857142857143,15.76,5.515714285714286,Matara,MC Matara,5.94851,80.5353
2014-09-29,27.072857142857142,26.047142857142855,28.568571428571428,62.33,3.8728571428571428,Matara,MC Matara,5.94851,80.5353
2014-10-06,26.58142857142857,25.5,27.815714285714286,75.95,3.4499999999999997,Matara,MC Matara,5.94851,80.5353
2014-10-13,27.22714285714286,26.431428571428572,28.400000000000002,47.35,5.3028571428571425,Matara,MC Matara,5.94851,80.5353
2014-10-20,26.617142857142856,25.687142857142856,27.91,137.81,3.7585714285714285,Matara,MC Matara,5.94851,80.5353
2014-10-27,26.821428571428573,25.52,28.495714285714286,114.99,2.03,Matara,MC Matara,5.94851,80.5353
2014-11-03,26.324285714285715,25.397142857142857,27.517142857142858,79.64,3.7600000000000002,Matara,MC Matara,5.94851,80.5353
2014-11-10,26.78857142857143,25.325714285714287,28.535714285714285,41.69,3.7085714285714286,Matara,MC Matara,5.94851,80.5353
2014-11-17,26.78857142857143,25.49142857142857,28.46,54.72,2.9442857142857144,Matara,MC Matara,5.94851,80.5353
2014-11-24,26.184285714285714,25.099999999999998,27.562857142857144,102.24000000000001,2.9457142857142853,Matara,MC Matara,5.94851,80.5353
2014-12-01,26.21142857142857,25.052857142857142,27.678571428571427,82.3,3.4571428571428577,Matara,MC Matara,5.94851,80.5353
2014-12-08,26.675714285714285,25.462857142857143,28.32857142857143,48.68,2.0357142857142856,Matara,MC Matara,5.94851,80.5353
2014-12-15,26.398571428571426,24.97142857142857,28.084285714285716,45.33,2.357142857142857,Matara,MC Matara,5.94851,80.5353
2014-12-22,26.407142857142855,25.349999999999998,27.84,138.28,2.7399999999999998,Matara,MC Matara,5.94851,80.5353
2014-12-29,25.864285714285717,24.818571428571428,27.15285714285714,166.13,2.845714285714286,Matara,MC Matara,5.94851,80.5353
2015-01-05,26.40857142857143,24.774285714285718,28.342857142857145,5.14,2.1214285714285714,Matara,MC Matara,5.94851,80.5353
2015-01-12,25.955714285714286,23.91857142857143,28.330000000000002,4.12,2.0628571428571427,Matara,MC Matara,5.94851,80.5353
2015-01-19,25.792857142857144,23.601428571428574,28.324285714285715,1.1400000000000001,2.5942857142857143,Matara,MC Matara,5.94851,80.5353
2015-01-26,25.737142857142857,23.625714285714285,28.13714285714286,13.76,3.317142857142857,Matara,MC Matara,5.94851,80.5353
2015-02-02,26.298571428571428,24.518571428571427,28.44,26.11,3.4414285714285713,Matara,MC Matara,5.94851,80.5353
2015-02-09,26.318571428571428,24.795714285714286,28.141428571428573,53.49,3.761428571428571,Matara,MC Matara,5.94851,80.5353
2015-02-16,26.087142857142858,24.34,28.17571428571429,39.27,3.1957142857142857,Matara,MC Matara,5.94851,80.5353
2015-02-23,26.138571428571428,23.66,28.725714285714286,7.41,2.81,Matara,MC Matara,5.94851,80.5353
2015-03-02,26.69142857142857,25.208571428571428,28.465714285714284,48.17,2.492857142857143,Matara,MC Matara,5.94851,80.5353
2015-03-09,27.235714285714288,25.055714285714284,29.599999999999998,16.96,2.6571428571428575,Matara,MC Matara,5.94851,80.5353
