week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,25.58142857142857,23.77285714285714,27.779999999999998,67.36,3.0814285714285714,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-14,24.859999999999996,23.135714285714283,27.084285714285716,92.78999999999999,3.4314285714285715,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-21,24.270000000000003,22.127142857142854,27.292857142857144,2.11,3.1042857142857145,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-28,24.958571428571428,23.155714285714286,27.527142857142856,11.069999999999999,3.7157142857142857,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-04,24.66857142857143,22.28857142857143,27.881428571428575,45.519999999999996,3.4114285714285715,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-11,25.705714285714286,23.771428571428572,28.704285714285714,48.57000000000001,2.9014285714285712,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-18,25.91,23.47142857142857,28.777142857142856,106.63,2.3628571428571425,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-25,25.16142857142857,22.792857142857144,28.495714285714286,5.550000000000001,2.8214285714285716,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-03-04,25.398571428571426,22.795714285714286,28.885714285714283,48.5,3.072857142857143,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-03-11,26.59714285714286,24.59,29.454285714285714,47.2,2.9857142857142853,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-03-18,26.157142857142855,23.255714285714284,29.892857142857142,16.419999999999998,2.402857142857143,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-03-25,26.228571428571428,22.872857142857146,30.24857142857143,27.99,2.0242857142857145,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-04-01,27.687142857142856,24.384285714285713,31.548571428571428,28.29,1.4085714285714286,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-04-08,27.68285714285714,24.09,31.580000000000002,1.5899999999999999,2.0357142857142856,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-04-15,27.945714285714285,24.954285714285714,31.351428571428574,29.4,1.6742857142857142,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-04-22,28.32,25.132857142857144,32.184285714285714,7.67,2.56,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-04-29,28.422857142857143,25.509999999999998,31.970000000000002,20.18,1.76,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-05-06,27.937142857142856,25.774285714285718,30.594285714285714,52.08,2.2857142857142856,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-05-13,28.439999999999998,26.225714285714282,31.534285714285716,48.11,3.367142857142857,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-05-20,27.90142857142857,25.69142857142857,31.254285714285714,10.17,4.311428571428571,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-05-27,27.957142857142856,26.198571428571427,30.844285714285714,0.97,5.404285714285714,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-06-03,27.62142857142857,26.00714285714286,29.990000000000002,6.5,5.098571428571428,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-06-10,27.835714285714285,25.88,30.884285714285713,6.47,5.1414285714285715,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-06-17,28.268571428571427,26.145714285714288,31.422857142857143,3.58,6.405714285714287,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-06-24,28.135714285714283,25.610000000000003,31.667142857142856,5.24,5.647142857142858,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-07-01,27.922857142857143,25.667142857142856,31.375714285714285,3.38,4.908571428571428,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-07-08,27.797142857142855,25.5,31.2,21.650000000000002,4.854285714285715,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-07-15,27.832857142857144,25.5,31.439999999999998,2.63,4.575714285714286,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-07-22,27.759999999999998,25.72,30.93285714285714,2.55,5.784285714285715,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-07-29,28.141428571428573,25.654285714285713,32.01714285714286,2.36,5.29,Vavuniya,Vavuniya,8.7593517,80.5000778
