,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,24.97,22.58,28.32,0.24,2.33,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-02,24.9,21.99,28.15,2.59,2.03,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-03,24.95,22.95,28.12,25.39,2.3,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-04,24.67,22.2,28.07,5.63,2.41,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-05,24.45,21.56,27.79,0.44,2.5,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-06,24.67,22.67,26.96,2.23,2.6,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-07,25.07,23.39,26.92,43.99,2.93,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-08,25.41,23.73,27.46,43.19,1.8,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-09,25.71,24.29,27.81,25.99,2.65,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-10,24.82,23.24,26.76,16.55,3.31,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-11,24.37,22.21,27.33,0.89,2.96,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-12,23.47,19.98,27.37,0.03,2.55,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-13,22.13,19.03,26.59,0.0,2.37,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-14,22.53,18.8,26.81,0.0,2.37,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-15,23.13,20.66,26.93,0.0,2.62,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-16,22.93,20.37,26.88,0.01,2.74,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-17,22.64,19.19,27.2,0.01,2.21,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-18,22.23,18.19,27.05,0.02,1.85,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-19,23.22,19.29,28.2,0.1,1.84,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-20,24.49,21.43,28.85,2.07,2.34,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-21,24.54,22.24,28.29,0.03,3.01,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-22,24.49,21.29,28.25,1.48,3.17,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-23,24.62,22.9,27.46,7.44,3.49,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-24,24.29,22.81,26.78,8.77,3.11,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-25,24.37,22.29,27.59,2.98,2.88,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-26,24.26,21.19,28.35,0.08,2.7,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
2013-01-27,23.74,20.68,27.79,0.01,2.6,Anuradhapura,Galenbindunuwewa,8.2924454,80.7189721
