,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,24.56,22.65,27.59,0.13,2.17,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-02,24.55,21.84,27.7,5.07,1.94,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-03,24.72,22.63,28.31,24.89,2.31,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-04,24.21,21.85,27.57,5.9,2.61,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-05,23.74,21.12,27.09,2.09,2.35,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-06,24.48,22.25,27.33,3.93,2.48,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-07,24.68,23.2,26.28,48.95,2.67,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-08,24.95,23.06,27.33,35.71,1.53,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-09,25.43,23.31,27.77,23.19,1.92,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-10,24.7,23.27,26.04,33.93,3.11,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-11,24.33,21.89,27.45,4.9,3.1,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-12,23.31,19.66,27.38,0.11,2.57,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-13,21.9,18.45,26.63,0.0,2.28,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-14,22.19,18.31,26.56,0.0,2.36,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-15,22.79,20.26,26.51,0.0,2.59,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-16,22.68,20.14,26.62,0.0,2.84,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-17,22.38,18.89,27.03,0.0,2.23,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-18,22.15,18.2,27.13,0.0,1.88,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-19,22.94,18.72,28.09,0.03,1.81,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-20,24.23,20.73,28.99,3.29,2.25,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-21,24.31,21.94,28.23,0.13,2.91,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-22,24.33,21.02,28.37,2.01,3.07,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-23,24.56,22.75,27.57,11.21,3.54,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-24,24.11,22.63,26.65,17.94,3.34,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-25,24.07,22.11,27.17,5.04,2.75,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-26,23.95,20.84,28.21,0.26,2.68,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-27,23.44,20.38,27.43,0.05,2.6,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-28,23.19,20.79,26.81,0.0,2.48,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-29,22.99,19.59,27.92,0.0,2.38,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-30,22.78,18.71,28.06,0.0,2.6,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-01-31,22.73,18.83,27.63,0.0,2.66,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-02-01,23.79,20.34,28.39,0.01,2.92,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-02-02,24.16,20.93,28.46,0.07,2.96,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-02-03,24.1,21.08,28.46,0.72,2.44,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-02-04,24.85,21.18,29.59,22.84,2.4,Anuradhapura,Kekirawa,8.0407932,80.5970669
2013-02-05,25.04,22.67,28.83,6.86,2.42,Anuradhapura,Kekirawa,8.0407932,80.5970669
