,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.91,24.0,28.33,0.07,3.86,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-02,25.88,23.65,28.4,0.68,3.58,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-03,25.97,24.27,28.34,10.63,3.8,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-04,25.87,24.11,28.5,3.48,3.94,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-05,25.56,23.38,28.12,0.21,3.99,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-06,25.73,24.01,27.63,0.84,4.26,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-07,25.87,24.45,27.51,29.22,4.76,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-08,26.26,25.14,27.64,41.88,3.45,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-09,26.24,25.42,27.77,23.82,4.46,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-10,25.73,24.49,27.33,13.01,5.27,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-11,25.44,23.77,27.8,0.33,4.73,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-12,24.88,22.39,27.72,0.0,4.43,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-13,23.73,21.46,26.9,0.0,4.36,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-14,23.93,21.22,27.06,0.0,4.06,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-15,24.41,22.62,27.15,0.0,4.43,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-16,24.4,22.33,27.29,0.01,4.68,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-17,24.13,21.4,27.54,0.01,3.96,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
2013-01-18,23.98,20.97,27.39,0.0,3.6,Anuradhapura,Mahawilachchiya,8.4863889,80.2880556
