,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,27.35,26.97,27.58,3.44,5.17,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-02,27.24,26.98,27.46,13.01,4.77,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-03,27.3,27.12,27.57,38.34,5.35,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-04,26.38,25.33,27.31,27.67,6.52,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-05,26.93,25.41,27.72,9.56,6.36,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-06,27.17,27.0,27.5,18.02,6.01,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-07,27.1,26.81,27.28,50.63,5.74,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-08,26.71,26.55,26.87,36.29,2.73,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-09,26.57,26.24,26.93,43.15,2.9,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-10,27.08,26.71,27.36,52.7,6.41,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-11,27.06,26.59,27.36,4.29,6.45,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-12,26.56,26.08,26.88,0.12,5.92,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-13,25.96,25.6,26.27,0.0,5.39,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-14,25.94,25.37,26.33,0.02,5.21,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-15,26.41,25.78,26.87,0.05,5.49,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-16,26.71,26.29,27.24,0.06,6.11,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-17,26.27,25.82,26.57,0.44,4.61,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-18,26.06,25.43,26.48,0.24,3.85,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-19,26.56,26.25,26.97,0.4,4.27,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-20,26.81,26.35,27.06,5.53,5.12,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-21,26.72,26.5,26.96,0.25,6.02,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-22,26.9,26.48,27.23,13.15,5.94,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-23,27.03,26.84,27.26,40.49,6.35,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-24,26.88,26.62,27.06,29.14,6.76,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-25,26.94,26.76,27.09,10.45,6.11,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-26,27.1,26.77,27.41,0.16,5.96,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-27,26.94,26.65,27.12,0.12,5.8,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-28,26.74,26.57,26.93,0.0,5.69,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-29,26.63,26.27,26.97,0.0,5.37,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-30,26.65,26.31,27.04,0.0,5.66,Batticaloa,Eravur,7.7855975,81.6044408
2013-01-31,26.26,25.91,26.54,2.46,5.43,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-01,26.69,26.1,27.0,6.46,6.07,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-02,26.94,26.56,27.24,4.83,6.11,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-03,26.78,26.38,27.04,6.97,5.49,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-04,27.31,26.74,27.6,70.77,5.34,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-05,27.33,27.11,27.49,28.27,5.19,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-06,27.33,27.13,27.6,4.67,4.75,Batticaloa,Eravur,7.7855975,81.6044408
2013-02-07,27.24,26.92,27.59,1.49,4.29,Batticaloa,Eravur,7.7855975,81.6044408
