,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.94,26.12,27.83,1.59,4.23,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-02,26.62,26.15,27.31,12.32,4.01,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-03,26.58,26.11,27.28,36.83,4.39,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-04,25.63,24.49,26.78,31.19,5.68,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-05,26.05,24.48,27.14,12.23,5.28,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-06,26.43,25.9,27.22,9.47,4.58,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-07,26.43,25.79,27.05,57.24,4.33,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-08,26.44,25.87,27.35,20.79,1.85,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-09,26.37,25.82,27.17,34.34,1.96,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-10,26.61,26.14,27.17,57.53,4.54,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-11,26.68,25.88,27.46,18.17,5.39,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-12,26.16,25.29,27.12,0.51,5.13,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-13,25.34,24.21,26.3,0.0,4.57,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-14,25.19,23.8,26.44,0.01,4.21,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-15,25.79,24.74,26.9,0.03,4.29,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-16,26.0,25.09,27.03,0.02,4.96,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-17,25.62,24.51,26.88,0.1,3.8,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-18,25.4,24.15,26.65,0.05,3.35,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-19,25.99,24.82,27.32,0.18,3.65,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-20,26.33,25.39,27.37,9.74,4.06,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-21,26.39,25.74,27.36,0.57,4.98,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-22,26.55,25.73,27.6,9.99,4.79,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-23,26.7,26.12,27.51,38.45,4.62,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-24,26.44,26.01,26.83,33.14,5.26,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-25,26.49,25.9,27.37,19.66,5.01,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-26,26.57,25.94,27.48,0.7,4.97,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-27,26.35,25.64,27.31,0.07,4.68,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-28,26.1,25.43,27.12,0.0,4.58,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-29,25.98,25.07,27.24,0.0,4.43,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-30,25.95,24.91,27.33,0.0,4.54,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-01-31,25.76,24.82,26.95,0.67,4.38,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-01,26.29,25.3,27.41,2.31,4.99,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-02,26.5,25.73,27.59,1.44,5.1,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-03,26.35,25.57,27.4,2.57,4.55,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-04,26.93,25.78,28.2,33.77,4.09,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-05,26.86,26.21,27.66,14.0,3.86,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-06,26.75,26.11,27.54,5.42,3.72,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-07,26.71,25.98,27.66,5.8,3.58,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-08,26.57,25.87,27.45,0.46,2.07,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-09,26.83,25.93,28.16,1.14,3.18,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-10,26.71,25.77,27.9,4.1,4.24,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-11,26.2,25.58,26.89,29.68,4.76,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-12,25.96,25.57,26.46,40.93,4.69,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-13,26.86,26.17,27.53,49.29,4.2,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-14,26.55,25.82,27.8,24.36,2.71,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-15,26.18,25.45,27.36,0.63,2.7,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-16,27.15,25.56,29.1,3.31,1.96,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-17,27.22,26.12,28.74,8.35,1.78,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-18,27.1,26.14,28.38,7.2,2.33,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-19,27.11,26.37,28.3,4.44,2.47,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-20,26.9,26.01,28.23,0.59,3.79,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-21,26.42,25.45,27.63,0.0,4.17,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-22,26.46,25.55,27.74,0.0,4.77,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-23,26.32,25.17,27.72,0.0,3.61,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-24,26.6,25.37,28.03,0.0,3.41,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-25,26.4,25.21,27.79,0.0,3.19,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-26,26.29,25.1,27.7,0.0,3.2,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-27,26.78,25.44,28.24,0.0,3.37,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-02-28,27.04,26.37,28.14,0.0,4.04,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-01,26.79,25.88,28.01,0.0,3.64,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-02,27.04,25.67,28.38,0.05,3.95,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-03,27.24,26.12,28.42,6.44,4.67,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-04,26.24,25.66,26.71,30.68,4.23,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-05,27.41,26.33,28.5,13.07,4.14,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-06,27.84,27.02,29.0,6.43,3.78,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-07,27.61,27.16,28.22,4.9,4.19,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-08,27.76,27.0,28.93,8.28,3.86,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-09,27.42,26.72,28.54,5.37,2.88,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-10,27.57,26.54,28.78,1.22,2.65,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-11,27.71,26.82,28.93,1.13,2.71,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-12,27.64,26.72,28.91,2.9,2.63,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-13,27.54,26.46,28.79,5.5,2.84,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-14,27.66,26.78,28.74,7.37,3.2,Batticaloa,Vavunativu,7.6952718,81.6588893
2013-03-15,27.82,26.8,28.92,9.39,3.52,Batticaloa,Vavunativu,7.6952718,81.6588893
