,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,27.27,26.13,28.13,1.84,1.31,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-02,27.4,26.55,28.08,1.37,1.94,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-03,27.32,26.31,28.11,10.42,3.05,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-04,26.64,25.67,27.51,15.0,4.19,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-05,26.05,25.14,26.67,4.08,4.02,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-06,26.94,25.97,27.81,2.09,2.67,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-07,25.95,25.5,26.61,21.82,2.65,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-08,26.75,25.99,27.5,16.06,2.66,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-09,26.92,26.19,27.53,11.63,4.5,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-10,27.03,26.44,27.74,12.1,2.97,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-11,27.21,26.03,28.29,10.01,3.16,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-12,27.11,25.87,28.31,0.88,3.87,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-13,26.5,25.13,27.93,0.0,3.56,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-14,26.15,24.85,27.0,0.0,2.1,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-15,26.32,24.66,27.68,0.01,2.72,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-16,26.37,24.54,28.13,0.0,3.5,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-17,26.21,24.43,27.6,0.0,2.73,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-18,25.94,24.49,26.76,0.0,1.99,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-19,26.45,24.81,27.47,0.0,1.89,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-20,26.79,25.44,27.83,0.53,1.63,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-21,27.37,25.81,28.89,0.15,2.28,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-22,27.19,25.56,28.73,0.04,2.4,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-23,26.81,25.51,28.17,5.93,3.04,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-24,26.35,25.8,26.83,8.54,2.42,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-25,27.19,26.05,28.42,7.56,3.13,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-26,27.27,25.92,28.48,0.45,2.75,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-27,27.22,25.96,28.43,0.2,3.07,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-28,26.89,25.65,28.13,0.0,3.05,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-29,26.91,25.24,28.36,0.1,2.22,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-30,26.8,24.93,28.62,0.0,2.9,Galle,Gonapinuwala,6.1414262,80.1369452
2013-01-31,26.4,24.5,27.95,0.0,2.9,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-01,26.95,25.08,28.7,0.05,2.95,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-02,27.17,25.52,28.81,0.42,2.87,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-03,27.13,25.52,28.54,0.08,2.23,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-04,26.94,25.93,27.91,4.37,1.69,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-05,26.72,25.96,27.53,1.14,1.83,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-06,27.06,26.33,27.72,14.92,2.44,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-07,27.06,26.25,27.96,3.14,2.25,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-08,26.63,26.38,27.08,9.17,2.1,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-09,27.05,25.66,28.41,13.4,2.13,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-10,27.62,26.23,29.11,4.55,2.18,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-11,26.85,25.78,27.78,9.74,4.31,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-12,26.39,25.52,27.4,11.19,5.2,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-13,26.73,25.91,27.64,31.44,5.8,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-14,26.39,25.32,27.88,21.11,4.89,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-15,26.62,25.18,27.95,1.84,3.7,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-16,27.12,25.69,28.36,0.53,1.93,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-17,27.34,26.47,28.38,1.47,1.15,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-18,27.2,26.46,27.99,3.64,1.73,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-19,26.86,25.82,27.82,13.79,1.35,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-20,27.65,26.21,28.92,2.17,1.38,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-21,27.5,26.11,28.55,0.19,1.74,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-22,27.38,25.88,28.78,0.18,2.4,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-23,27.01,25.33,28.29,0.05,2.45,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-24,27.03,25.45,28.11,0.04,2.33,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-25,27.22,25.88,28.52,0.21,1.49,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-26,26.88,26.16,27.55,0.01,1.56,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-27,27.4,26.07,28.26,0.12,1.81,Galle,Gonapinuwala,6.1414262,80.1369452
2013-02-28,27.61,26.32,28.71,0.23,2.25,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-01,27.44,26.13,28.47,0.37,1.75,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-02,27.56,26.46,28.48,12.49,1.38,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-03,27.74,26.25,28.79,2.13,2.08,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-04,27.07,26.52,27.5,13.04,2.71,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-05,27.57,26.07,29.06,9.65,4.49,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-06,27.89,26.95,29.13,7.61,4.77,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-07,28.07,26.93,29.02,2.65,2.92,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-08,27.87,27.1,28.48,5.83,2.44,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-09,28.17,27.01,29.2,3.68,1.96,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-10,28.22,27.09,29.33,1.41,2.66,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-11,28.36,27.14,29.52,7.22,2.46,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-12,28.32,27.58,29.18,12.75,1.76,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-13,27.98,27.18,28.89,3.91,0.84,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-14,27.73,27.15,28.4,5.87,1.32,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-15,27.76,26.73,28.72,11.86,1.81,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-16,28.28,27.1,29.34,9.08,3.33,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-17,28.5,27.09,29.82,5.82,2.61,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-18,28.49,27.61,29.54,8.81,1.71,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-19,28.36,27.49,29.19,9.17,1.26,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-20,28.9,27.83,30.07,1.95,1.48,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-21,28.35,27.87,29.06,1.74,1.12,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-22,28.36,27.51,29.26,3.86,1.11,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-23,28.02,27.27,28.67,6.29,1.38,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-24,27.78,26.8,29.02,15.87,1.76,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-25,27.08,26.42,27.67,11.68,2.04,Galle,Gonapinuwala,6.1414262,80.1369452
2013-03-26,27.49,26.79,28.23,6.95,1.65,Galle,Gonapinuwala,6.1414262,80.1369452
