,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.82,25.18,28.63,2.08,2.2,Galle,Imaduwa,6.0354808,80.3888983
2013-01-02,26.76,25.21,28.53,1.33,0.94,Galle,Imaduwa,6.0354808,80.3888983
2013-01-03,26.55,25.23,28.43,12.49,1.75,Galle,Imaduwa,6.0354808,80.3888983
2013-01-04,25.64,24.11,27.1,20.99,3.07,Galle,Imaduwa,6.0354808,80.3888983
2013-01-05,25.02,23.59,26.41,4.19,3.32,Galle,Imaduwa,6.0354808,80.3888983
2013-01-06,26.29,24.72,27.81,2.01,1.82,Galle,Imaduwa,6.0354808,80.3888983
2013-01-07,25.83,24.97,27.26,33.2,1.55,Galle,Imaduwa,6.0354808,80.3888983
2013-01-08,26.04,24.93,27.26,12.31,1.92,Galle,Imaduwa,6.0354808,80.3888983
2013-01-09,26.8,25.24,28.71,12.33,1.81,Galle,Imaduwa,6.0354808,80.3888983
2013-01-10,26.65,25.45,27.8,13.29,1.78,Galle,Imaduwa,6.0354808,80.3888983
2013-01-11,26.71,25.36,28.23,14.08,3.88,Galle,Imaduwa,6.0354808,80.3888983
2013-01-12,26.38,24.52,28.68,0.79,3.41,Galle,Imaduwa,6.0354808,80.3888983
2013-01-13,25.75,23.85,28.21,0.0,3.2,Galle,Imaduwa,6.0354808,80.3888983
2013-01-14,25.29,22.9,27.67,0.0,2.5,Galle,Imaduwa,6.0354808,80.3888983
2013-01-15,25.25,22.78,27.87,0.01,3.93,Galle,Imaduwa,6.0354808,80.3888983
2013-01-16,25.28,22.94,28.1,0.0,4.32,Galle,Imaduwa,6.0354808,80.3888983
2013-01-17,25.21,22.64,27.97,0.0,3.65,Galle,Imaduwa,6.0354808,80.3888983
2013-01-18,25.28,22.87,27.66,0.0,2.18,Galle,Imaduwa,6.0354808,80.3888983
2013-01-19,25.84,23.14,28.47,0.0,1.65,Galle,Imaduwa,6.0354808,80.3888983
2013-01-20,26.42,23.96,28.93,0.61,1.84,Galle,Imaduwa,6.0354808,80.3888983
2013-01-21,26.8,24.73,29.48,0.05,3.09,Galle,Imaduwa,6.0354808,80.3888983
2013-01-22,26.58,24.09,29.37,0.26,2.52,Galle,Imaduwa,6.0354808,80.3888983
2013-01-23,26.29,24.63,28.28,11.22,2.81,Galle,Imaduwa,6.0354808,80.3888983
2013-01-24,26.04,25.04,27.4,11.71,3.22,Galle,Imaduwa,6.0354808,80.3888983
2013-01-25,26.58,25.1,28.58,9.73,2.86,Galle,Imaduwa,6.0354808,80.3888983
2013-01-26,26.55,24.6,28.92,0.43,3.14,Galle,Imaduwa,6.0354808,80.3888983
2013-01-27,26.33,24.54,28.58,0.47,4.38,Galle,Imaduwa,6.0354808,80.3888983
2013-01-28,25.81,24.15,28.08,0.0,3.97,Galle,Imaduwa,6.0354808,80.3888983
2013-01-29,25.97,23.61,28.84,0.0,3.51,Galle,Imaduwa,6.0354808,80.3888983
2013-01-30,25.72,23.16,28.88,0.0,4.18,Galle,Imaduwa,6.0354808,80.3888983
2013-01-31,25.63,23.02,28.53,0.03,4.13,Galle,Imaduwa,6.0354808,80.3888983
2013-02-01,26.22,23.68,29.07,0.23,4.05,Galle,Imaduwa,6.0354808,80.3888983
2013-02-02,26.55,24.25,29.2,0.33,3.8,Galle,Imaduwa,6.0354808,80.3888983
2013-02-03,26.59,24.42,29.13,0.11,2.42,Galle,Imaduwa,6.0354808,80.3888983
2013-02-04,26.69,24.48,29.14,7.67,1.86,Galle,Imaduwa,6.0354808,80.3888983
2013-02-05,26.11,25.31,27.19,1.31,1.67,Galle,Imaduwa,6.0354808,80.3888983
2013-02-06,26.64,25.39,28.23,11.4,2.25,Galle,Imaduwa,6.0354808,80.3888983
2013-02-07,26.79,24.98,28.82,8.41,2.27,Galle,Imaduwa,6.0354808,80.3888983
2013-02-08,26.03,25.09,26.88,8.66,1.99,Galle,Imaduwa,6.0354808,80.3888983
