,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,24.67,21.47,28.49,0.39,1.16,Galle,Rathgama,6.7310453,80.4927197
2013-01-02,24.52,21.61,27.76,2.06,0.76,Galle,Rathgama,6.7310453,80.4927197
2013-01-03,24.33,21.51,27.97,16.98,1.22,Galle,Rathgama,6.7310453,80.4927197
2013-01-04,23.26,20.37,26.45,19.64,2.12,Galle,Rathgama,6.7310453,80.4927197
2013-01-05,22.06,19.6,24.73,3.31,2.3,Galle,Rathgama,6.7310453,80.4927197
2013-01-06,24.01,21.27,26.97,1.23,1.3,Galle,Rathgama,6.7310453,80.4927197
2013-01-07,24.05,22.31,26.92,41.97,0.85,Galle,Rathgama,6.7310453,80.4927197
2013-01-08,24.15,21.7,27.13,11.6,1.1,Galle,Rathgama,6.7310453,80.4927197
2013-01-09,25.18,22.0,28.83,12.98,1.02,Galle,Rathgama,6.7310453,80.4927197
2013-01-10,24.95,22.38,27.7,21.2,0.96,Galle,Rathgama,6.7310453,80.4927197
2013-01-11,24.67,21.77,28.13,16.49,2.1,Galle,Rathgama,6.7310453,80.4927197
2013-01-12,23.79,20.27,28.17,0.52,1.94,Galle,Rathgama,6.7310453,80.4927197
2013-01-13,23.09,19.39,28.14,0.01,1.89,Galle,Rathgama,6.7310453,80.4927197
2013-01-14,22.42,17.77,27.74,0.0,1.23,Galle,Rathgama,6.7310453,80.4927197
2013-01-15,22.13,17.52,27.6,0.0,1.93,Galle,Rathgama,6.7310453,80.4927197
2013-01-16,21.86,17.41,27.43,0.0,2.41,Galle,Rathgama,6.7310453,80.4927197
2013-01-17,22.14,17.09,28.03,0.0,1.61,Galle,Rathgama,6.7310453,80.4927197
2013-01-18,22.5,17.4,28.2,0.0,1.01,Galle,Rathgama,6.7310453,80.4927197
2013-01-19,23.32,17.9,29.17,0.0,0.86,Galle,Rathgama,6.7310453,80.4927197
2013-01-20,24.02,19.16,28.87,1.66,0.9,Galle,Rathgama,6.7310453,80.4927197
2013-01-21,24.69,20.8,29.66,0.07,1.5,Galle,Rathgama,6.7310453,80.4927197
2013-01-22,24.2,19.6,29.41,0.69,1.67,Galle,Rathgama,6.7310453,80.4927197
2013-01-23,24.11,20.58,28.45,15.63,1.85,Galle,Rathgama,6.7310453,80.4927197
2013-01-24,23.82,22.0,26.62,14.16,1.33,Galle,Rathgama,6.7310453,80.4927197
2013-01-25,24.15,21.45,28.21,8.96,1.6,Galle,Rathgama,6.7310453,80.4927197
2013-01-26,24.15,20.38,29.09,0.51,1.67,Galle,Rathgama,6.7310453,80.4927197
2013-01-27,23.78,20.37,28.43,0.28,2.18,Galle,Rathgama,6.7310453,80.4927197
2013-01-28,22.72,19.64,27.07,0.0,2.04,Galle,Rathgama,6.7310453,80.4927197
2013-01-29,23.11,18.62,28.92,0.0,1.74,Galle,Rathgama,6.7310453,80.4927197
2013-01-30,22.65,17.82,28.77,0.0,2.23,Galle,Rathgama,6.7310453,80.4927197
2013-01-31,22.84,17.89,28.75,0.0,1.98,Galle,Rathgama,6.7310453,80.4927197
2013-02-01,23.76,18.86,29.33,0.0,2.09,Galle,Rathgama,6.7310453,80.4927197
2013-02-02,24.23,19.99,29.36,0.0,2.03,Galle,Rathgama,6.7310453,80.4927197
2013-02-03,24.35,20.38,29.5,0.01,1.24,Galle,Rathgama,6.7310453,80.4927197
2013-02-04,24.55,19.81,29.47,10.18,0.87,Galle,Rathgama,6.7310453,80.4927197
2013-02-05,24.28,22.34,27.26,1.13,0.82,Galle,Rathgama,6.7310453,80.4927197
2013-02-06,24.27,21.77,27.54,15.13,1.0,Galle,Rathgama,6.7310453,80.4927197
2013-02-07,24.66,20.96,28.72,9.8,1.02,Galle,Rathgama,6.7310453,80.4927197
2013-02-08,23.84,20.98,26.71,5.47,0.97,Galle,Rathgama,6.7310453,80.4927197
2013-02-09,24.12,19.02,29.56,6.9,1.31,Galle,Rathgama,6.7310453,80.4927197
