,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.84,23.9,28.16,0.22,3.11,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-02,25.5,23.41,27.65,1.09,3.32,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-03,25.69,23.42,28.38,13.42,3.7,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-04,25.15,22.93,27.58,8.79,4.47,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-05,24.25,22.17,26.16,2.6,4.47,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-06,25.43,23.47,27.75,1.65,3.51,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-07,25.29,24.04,26.7,27.41,3.7,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-08,25.88,23.37,28.42,20.52,2.84,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-09,26.07,24.16,27.87,13.66,3.29,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-10,25.71,24.48,27.13,21.99,4.25,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-11,25.98,23.62,29.12,4.66,4.64,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-12,25.12,22.74,28.37,0.12,4.54,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-13,24.01,21.67,27.12,0.01,4.42,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-14,24.02,20.57,27.71,0.0,3.51,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-15,24.16,21.08,27.99,0.01,3.66,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-16,23.85,20.55,27.87,0.0,4.11,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-17,24.2,20.31,28.6,0.0,3.13,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-18,24.04,20.1,27.86,0.0,3.09,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-19,24.52,20.72,28.62,0.0,3.27,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-20,25.22,21.56,28.49,1.35,2.99,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-21,25.63,23.16,29.13,0.14,4.02,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-22,25.41,22.29,29.14,0.27,4.36,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-23,25.52,22.79,28.87,6.4,4.75,Gampaha,Mirigama,7.2475144,80.1299215
2013-01-24,25.05,23.67,26.99,9.41,4.02,Gampaha,Mirigama,7.2475144,80.1299215
