,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.79,25.84,28.04,16.16,4.25,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-02,26.37,25.54,27.56,6.19,3.43,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-03,26.25,25.49,27.46,12.24,4.33,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-04,25.47,24.41,26.38,43.39,5.99,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-05,25.17,24.02,26.17,21.65,5.97,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-06,26.13,25.32,27.22,14.82,4.47,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-07,26.12,25.36,27.33,68.52,3.01,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-08,26.12,25.13,27.11,17.69,2.3,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-09,26.46,25.39,27.67,32.85,1.97,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-10,26.51,25.7,27.14,25.58,3.13,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-11,26.73,25.74,27.46,13.57,5.95,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-12,26.3,25.22,27.78,0.54,6.03,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-13,25.72,24.53,27.4,0.03,5.07,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-14,25.29,23.65,27.06,0.01,4.88,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-15,25.54,24.06,27.22,0.09,5.18,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-16,25.73,24.4,27.39,0.04,5.76,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-17,25.6,23.97,27.45,0.02,5.09,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-18,25.57,23.92,27.41,0.03,4.23,Hambantota,Ambalantota,6.1292965,80.9946843
2013-01-19,25.9,23.86,28.09,0.0,3.98,Hambantota,Ambalantota,6.1292965,80.9946843
