,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,27.09,26.37,27.64,0.75,4.79,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-02,26.78,26.01,27.53,0.11,4.56,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-03,27.11,26.42,27.96,3.19,4.43,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-04,27.03,26.56,27.74,2.59,3.63,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-05,27.11,26.45,27.74,0.0,4.83,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-06,27.11,26.59,27.79,0.38,5.57,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-07,26.98,26.35,27.69,7.3,5.89,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-08,26.86,26.5,27.21,26.09,5.41,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-09,26.89,26.67,27.21,24.27,6.35,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-10,26.77,26.1,27.56,4.4,6.46,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-11,26.28,25.81,27.03,0.14,5.62,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-12,26.25,25.47,26.98,0.0,5.86,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-13,25.78,24.99,26.64,0.0,5.67,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-14,25.79,25.13,26.58,0.0,4.9,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-15,25.89,25.27,26.56,0.08,5.42,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-16,26.23,25.27,27.25,0.12,5.69,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-17,25.94,25.18,26.69,0.04,5.27,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-18,26.43,25.73,27.18,0.03,4.82,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-19,26.44,25.68,27.35,0.13,4.69,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-20,26.46,25.59,27.4,0.91,5.3,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-21,26.54,25.83,27.4,0.0,6.2,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-22,26.16,25.34,26.97,0.16,6.28,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-23,26.45,25.85,27.3,1.87,6.62,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-24,26.57,26.06,27.4,1.29,6.39,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-25,26.34,25.83,27.08,0.0,5.93,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-26,26.39,25.7,27.24,0.0,5.74,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-27,26.42,25.72,27.24,0.03,5.9,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-28,26.32,25.58,27.23,0.0,5.69,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-29,26.12,25.26,27.21,0.0,5.25,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-30,26.19,25.45,27.2,0.12,5.79,Jaffna,Karaveddy,9.7880007,80.1948998
2013-01-31,25.94,25.22,26.81,0.0,6.43,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-01,25.98,25.13,26.9,0.07,5.94,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-02,26.0,25.14,26.89,1.2,5.9,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-03,26.3,25.45,27.25,0.25,5.61,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-04,26.72,25.89,27.66,10.06,5.12,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-05,26.93,26.29,27.8,14.27,5.49,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-06,27.04,26.49,27.98,0.26,5.08,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-07,26.89,26.08,27.91,0.26,3.74,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-08,27.03,25.94,28.27,0.0,2.79,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-09,26.9,26.23,27.98,0.23,4.86,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-10,26.98,26.28,27.88,0.03,6.19,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-11,27.11,26.59,27.97,5.71,6.49,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-12,27.19,26.72,27.79,3.26,6.61,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-13,27.15,26.78,27.61,17.11,5.86,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-14,26.81,25.85,27.77,35.32,4.58,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-15,26.3,25.84,26.84,0.69,2.92,Jaffna,Karaveddy,9.7880007,80.1948998
2013-02-16,27.66,26.62,28.64,0.16,2.85,Jaffna,Karaveddy,9.7880007,80.1948998
