,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.74,26.03,27.6,0.31,4.73,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-02,26.65,25.47,27.84,0.1,4.42,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-03,26.88,26.03,28.08,3.9,4.45,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-04,26.75,25.89,27.9,2.66,3.74,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-05,26.75,25.62,27.87,0.0,4.65,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-06,26.82,26.0,27.88,0.29,5.42,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-07,26.74,25.86,27.73,18.2,5.82,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-08,26.74,26.29,27.27,44.26,5.07,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-09,26.74,26.36,27.24,30.11,6.09,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-10,26.58,25.88,27.62,5.15,6.39,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-11,26.23,25.41,27.32,0.13,5.51,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-12,25.92,24.68,27.17,0.0,5.58,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-13,25.21,24.08,26.55,0.0,5.47,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-14,25.32,24.18,26.6,0.0,4.83,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-15,25.53,24.63,26.72,0.03,5.34,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-16,25.79,24.52,27.36,0.04,5.51,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-17,25.43,24.29,26.75,0.01,4.96,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-18,25.76,24.6,27.05,0.01,4.5,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-19,25.9,24.61,27.42,0.15,4.42,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-20,26.1,24.98,27.42,1.85,5.03,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-21,26.17,25.19,27.48,0.0,5.99,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-22,25.84,24.56,27.12,0.13,6.11,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-23,26.16,25.42,27.31,1.29,6.51,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-24,26.28,25.5,27.47,0.85,6.29,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-25,26.06,25.32,27.12,0.16,5.77,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-26,26.11,25.16,27.48,0.0,5.53,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-27,26.1,25.01,27.51,0.01,5.61,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-28,25.97,24.87,27.44,0.0,5.47,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-29,25.68,24.38,27.31,0.0,5.06,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-30,25.75,24.49,27.4,0.29,5.58,Jaffna,Telippalai,9.7367133,79.9530175
2013-01-31,25.53,24.31,27.04,0.0,6.14,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-01,25.72,24.46,27.14,0.03,5.66,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-02,25.86,24.81,27.14,0.42,5.74,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-03,26.09,25.0,27.43,0.12,5.36,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-04,26.47,25.34,27.76,18.11,4.98,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-05,26.81,25.82,28.29,20.24,5.17,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-06,26.82,25.93,28.29,0.35,4.8,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-07,26.75,25.55,28.21,0.08,3.57,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-08,27.0,25.44,28.82,0.0,2.54,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-09,26.72,25.63,28.34,0.09,4.65,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-10,26.76,25.77,28.22,0.1,5.85,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-11,26.77,26.03,28.11,10.97,6.12,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-12,26.82,26.12,27.81,7.58,6.39,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-13,26.85,26.24,27.78,27.56,5.69,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-14,26.52,25.3,28.1,29.16,4.4,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-15,26.26,25.48,26.97,0.73,3.32,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-16,27.38,25.33,29.2,0.14,2.21,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-17,27.59,25.93,28.98,0.66,2.73,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-18,27.47,25.94,28.83,2.3,2.71,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-19,27.14,26.09,28.35,9.47,3.88,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-20,27.1,26.03,28.66,0.67,4.86,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-21,26.63,25.66,28.08,0.0,5.66,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-22,26.47,25.3,27.98,0.0,5.79,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-23,26.44,25.15,28.23,0.0,4.71,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-24,25.91,24.39,27.65,0.0,3.98,Jaffna,Telippalai,9.7367133,79.9530175
2013-02-25,25.9,24.43,27.67,0.0,3.77,Jaffna,Telippalai,9.7367133,79.9530175
