,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.75,24.61,28.76,0.75,1.66,Kalutara,Matugama,6.5229542,80.1142603
2013-01-02,26.47,24.76,28.14,0.59,2.73,Kalutara,Matugama,6.5229542,80.1142603
2013-01-03,26.49,24.85,28.4,12.13,3.2,Kalutara,Matugama,6.5229542,80.1142603
2013-01-04,25.75,23.72,27.78,11.62,4.02,Kalutara,Matugama,6.5229542,80.1142603
2013-01-05,24.85,23.13,26.27,2.34,3.89,Kalutara,Matugama,6.5229542,80.1142603
2013-01-06,26.09,24.37,27.88,0.96,2.82,Kalutara,Matugama,6.5229542,80.1142603
2013-01-07,25.48,24.45,26.38,24.27,1.83,Kalutara,Matugama,6.5229542,80.1142603
2013-01-08,26.23,24.65,28.12,18.11,2.82,Kalutara,Matugama,6.5229542,80.1142603
2013-01-09,26.36,24.91,27.73,10.82,3.45,Kalutara,Matugama,6.5229542,80.1142603
2013-01-10,26.39,25.15,28.2,13.42,3.17,Kalutara,Matugama,6.5229542,80.1142603
2013-01-11,26.79,24.93,29.36,5.52,3.17,Kalutara,Matugama,6.5229542,80.1142603
2013-01-12,26.04,23.73,28.65,0.28,3.83,Kalutara,Matugama,6.5229542,80.1142603
2013-01-13,25.36,22.85,28.26,0.0,3.66,Kalutara,Matugama,6.5229542,80.1142603
2013-01-14,24.98,22.19,27.41,0.0,2.27,Kalutara,Matugama,6.5229542,80.1142603
2013-01-15,25.18,21.98,28.32,0.0,2.24,Kalutara,Matugama,6.5229542,80.1142603
2013-01-16,24.92,21.57,28.54,0.0,3.14,Kalutara,Matugama,6.5229542,80.1142603
2013-01-17,24.95,21.46,28.28,0.0,2.0,Kalutara,Matugama,6.5229542,80.1142603
2013-01-18,24.74,21.51,27.27,0.0,2.15,Kalutara,Matugama,6.5229542,80.1142603
2013-01-19,25.44,22.0,28.37,0.0,2.4,Kalutara,Matugama,6.5229542,80.1142603
2013-01-20,25.83,22.82,28.21,1.08,2.13,Kalutara,Matugama,6.5229542,80.1142603
2013-01-21,26.67,24.06,29.43,0.1,2.71,Kalutara,Matugama,6.5229542,80.1142603
2013-01-22,26.31,23.07,29.53,0.1,3.08,Kalutara,Matugama,6.5229542,80.1142603
2013-01-23,26.1,23.38,29.08,5.73,3.52,Kalutara,Matugama,6.5229542,80.1142603
2013-01-24,25.57,24.3,27.16,6.99,1.96,Kalutara,Matugama,6.5229542,80.1142603
2013-01-25,26.15,24.24,28.61,4.81,3.14,Kalutara,Matugama,6.5229542,80.1142603
2013-01-26,26.37,23.66,29.23,0.38,3.03,Kalutara,Matugama,6.5229542,80.1142603
2013-01-27,26.34,23.75,29.37,0.07,2.42,Kalutara,Matugama,6.5229542,80.1142603
2013-01-28,25.73,23.33,28.49,0.0,2.64,Kalutara,Matugama,6.5229542,80.1142603
2013-01-29,25.78,22.5,29.1,0.03,2.55,Kalutara,Matugama,6.5229542,80.1142603
2013-01-30,25.58,21.93,29.43,0.0,2.27,Kalutara,Matugama,6.5229542,80.1142603
2013-01-31,25.32,21.61,28.91,0.0,2.46,Kalutara,Matugama,6.5229542,80.1142603
2013-02-01,25.96,22.37,29.44,0.01,2.97,Kalutara,Matugama,6.5229542,80.1142603
2013-02-02,26.38,23.31,29.53,0.02,3.21,Kalutara,Matugama,6.5229542,80.1142603
2013-02-03,26.45,23.85,29.33,0.01,2.74,Kalutara,Matugama,6.5229542,80.1142603
2013-02-04,26.19,23.74,28.61,6.52,1.71,Kalutara,Matugama,6.5229542,80.1142603
2013-02-05,26.14,24.59,27.96,1.52,1.07,Kalutara,Matugama,6.5229542,80.1142603
2013-02-06,26.31,24.53,28.0,21.61,1.64,Kalutara,Matugama,6.5229542,80.1142603
2013-02-07,26.47,24.5,28.57,5.64,1.87,Kalutara,Matugama,6.5229542,80.1142603
2013-02-08,26.23,24.69,28.12,9.36,1.28,Kalutara,Matugama,6.5229542,80.1142603
2013-02-09,26.46,23.37,29.52,15.05,1.56,Kalutara,Matugama,6.5229542,80.1142603
2013-02-10,26.93,24.24,29.98,2.43,2.04,Kalutara,Matugama,6.5229542,80.1142603
2013-02-11,25.93,23.95,28.33,6.36,2.73,Kalutara,Matugama,6.5229542,80.1142603
2013-02-12,25.26,23.41,27.32,9.46,3.31,Kalutara,Matugama,6.5229542,80.1142603
2013-02-13,25.7,24.21,27.74,32.53,3.52,Kalutara,Matugama,6.5229542,80.1142603
2013-02-14,25.3,23.63,27.93,15.32,3.79,Kalutara,Matugama,6.5229542,80.1142603
2013-02-15,25.95,23.34,28.85,0.77,1.9,Kalutara,Matugama,6.5229542,80.1142603
2013-02-16,26.46,23.79,29.01,0.95,1.02,Kalutara,Matugama,6.5229542,80.1142603
2013-02-17,26.92,25.14,29.35,1.88,1.22,Kalutara,Matugama,6.5229542,80.1142603
2013-02-18,26.52,24.96,28.37,5.03,1.67,Kalutara,Matugama,6.5229542,80.1142603
2013-02-19,26.54,25.0,28.42,18.53,1.42,Kalutara,Matugama,6.5229542,80.1142603
