,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,24.5,22.5,27.55,3.2,1.94,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-02,24.23,22.28,27.08,9.64,1.75,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-03,24.34,22.57,27.32,27.55,2.06,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-04,23.45,21.41,25.87,30.95,2.65,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-05,23.14,20.56,25.66,10.57,2.22,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-06,24.2,22.47,26.73,11.42,2.02,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-07,24.41,22.9,25.89,50.05,2.32,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-08,24.86,22.86,27.55,23.86,0.96,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-09,25.07,23.48,27.63,30.32,1.22,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-10,24.54,23.62,26.03,43.63,2.62,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-11,24.3,22.09,26.92,12.02,2.9,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-12,23.39,20.91,26.7,0.27,2.47,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-13,22.1,19.01,25.62,0.0,2.12,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-14,21.87,17.9,26.11,0.02,1.91,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-15,22.55,19.48,26.27,0.07,2.04,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-16,22.49,19.63,26.16,0.07,2.37,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-17,22.27,18.9,26.61,0.21,1.85,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-18,22.15,18.38,26.71,0.08,1.6,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-19,23.02,19.12,27.68,0.13,1.58,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-20,24.13,21.36,28.15,5.51,2.06,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-21,24.06,22.05,27.45,0.69,2.61,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-22,24.23,21.8,27.86,9.4,2.57,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-23,24.69,22.91,27.39,35.05,3.0,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-24,24.02,22.61,25.59,32.74,3.1,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-25,23.73,22.19,26.25,18.26,2.42,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-26,23.89,21.76,27.25,0.35,2.39,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-27,23.37,20.94,26.62,0.12,2.16,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-28,22.97,20.73,25.99,0.0,2.02,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-29,22.82,19.78,27.12,0.01,2.03,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-30,22.68,19.28,27.27,0.0,2.06,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-01-31,22.92,19.92,27.0,1.4,2.14,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-01,23.7,20.99,27.48,5.12,2.68,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-02,24.01,21.81,27.6,2.82,2.72,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-03,23.88,21.3,27.66,4.01,2.17,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-04,24.76,21.58,29.09,32.31,2.14,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-05,24.79,22.88,27.9,15.19,1.97,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-06,24.26,22.42,26.99,7.52,1.62,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-07,24.37,21.87,27.63,3.19,1.56,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-08,24.42,21.82,27.78,0.45,1.14,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-09,24.56,21.5,28.82,1.09,1.61,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-10,24.39,21.83,28.06,2.98,2.05,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-11,23.66,22.04,25.87,26.38,2.52,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-12,23.43,21.55,25.38,28.42,2.27,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-13,24.39,22.75,26.33,40.63,2.47,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-14,23.89,21.9,26.88,21.75,1.76,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-15,24.24,21.54,27.92,0.65,1.44,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-16,25.55,21.18,30.58,1.8,0.93,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-17,25.87,22.51,29.94,4.86,1.0,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-18,25.36,22.46,29.33,5.65,1.43,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-19,25.08,22.11,28.9,3.82,1.4,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-20,24.52,22.03,28.61,0.38,1.72,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-21,24.09,21.17,28.38,0.0,2.04,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-22,23.64,20.53,27.71,0.0,2.23,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-23,23.26,19.86,27.86,0.0,1.81,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-24,23.83,20.42,28.33,0.0,1.71,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-25,24.17,20.35,28.88,0.0,1.55,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-26,23.53,19.92,28.28,0.0,1.5,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-27,23.84,20.16,28.63,0.0,1.51,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-02-28,24.35,21.54,28.27,0.0,1.79,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-01,24.36,21.08,28.75,0.0,1.77,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-02,24.74,21.45,29.11,0.23,1.83,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-03,24.63,21.23,28.64,7.1,2.08,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-04,23.89,22.38,25.55,30.06,2.14,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-05,25.31,22.41,28.7,11.31,2.47,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-06,25.75,23.23,28.85,6.96,2.26,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-07,25.62,24.19,27.97,6.92,2.1,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-08,25.82,23.72,29.13,8.65,2.16,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-09,25.5,23.11,29.12,4.86,1.4,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-10,25.75,23.03,29.74,1.25,1.45,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-11,25.77,22.57,29.89,1.87,1.49,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-12,25.81,22.65,30.34,2.55,1.31,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-13,25.83,22.44,30.45,10.32,1.31,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-14,25.54,23.34,29.11,10.32,1.99,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-15,25.68,22.62,29.32,10.6,2.02,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-16,25.24,23.06,28.41,2.27,1.76,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-17,25.58,22.66,29.85,0.05,1.55,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-18,25.31,22.02,29.83,0.22,1.48,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-19,25.6,22.07,30.17,0.05,1.29,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-20,25.73,23.0,29.45,0.01,1.78,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-21,25.79,22.75,30.25,0.0,1.45,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-22,25.13,21.11,30.05,0.0,1.19,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-23,25.78,21.15,30.55,7.35,0.76,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-24,26.04,23.71,29.57,23.18,1.58,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-25,25.72,23.47,28.66,14.7,0.92,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-26,26.13,22.33,30.4,5.15,1.1,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-27,26.57,23.22,31.03,9.17,1.2,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-28,26.56,23.81,29.81,5.0,1.11,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-29,26.92,23.9,31.05,4.69,1.24,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-30,26.74,22.61,31.63,0.23,1.19,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-03-31,26.52,22.62,31.01,0.2,0.98,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-04-01,26.37,22.68,30.97,0.07,1.0,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
2013-04-02,26.35,22.52,31.44,0.03,0.93,Kandy,Minipe(Hasalaka),7.2710565,80.9899666
