,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.66,26.01,27.42,0.84,4.6,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-02,26.75,25.6,27.83,0.5,4.14,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-03,26.84,26.02,27.79,14.0,4.3,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-04,26.71,25.59,27.7,7.01,3.68,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-05,26.72,25.45,27.8,0.08,4.73,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-06,26.8,26.11,27.65,0.7,5.38,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-07,26.76,25.96,27.58,29.89,5.53,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-08,26.85,26.34,27.4,51.47,4.57,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-09,26.82,26.46,27.29,38.62,6.05,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-10,26.58,25.89,27.51,7.88,6.09,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-11,26.17,25.52,27.13,0.33,5.2,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-12,25.82,24.54,26.95,0.0,5.22,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-13,25.04,23.92,26.28,0.0,5.06,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-14,25.27,24.17,26.47,0.0,4.61,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-15,25.55,24.63,26.67,0.06,5.06,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-16,25.74,24.51,27.26,0.09,5.31,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-17,25.31,24.22,26.53,0.02,4.57,Kilinochchi,Kilinochchi,9.3840068,80.4087224
2013-01-18,25.51,24.36,26.71,0.06,4.03,Kilinochchi,Kilinochchi,9.3840068,80.4087224
