,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.2,24.97,28.04,0.02,4.07,Mannar,Mannar,8.9812896,79.9043942
2013-01-02,26.14,24.36,28.06,0.28,3.74,Mannar,Mannar,8.9812896,79.9043942
2013-01-03,26.3,25.06,28.18,6.57,3.9,Mannar,Mannar,8.9812896,79.9043942
2013-01-04,26.12,24.7,28.07,3.37,3.61,Mannar,Mannar,8.9812896,79.9043942
2013-01-05,25.98,24.17,27.91,0.04,4.0,Mannar,Mannar,8.9812896,79.9043942
2013-01-06,26.11,24.8,27.72,0.55,4.51,Mannar,Mannar,8.9812896,79.9043942
2013-01-07,26.2,25.05,27.6,23.52,4.98,Mannar,Mannar,8.9812896,79.9043942
2013-01-08,26.44,25.69,27.43,47.27,4.08,Mannar,Mannar,8.9812896,79.9043942
2013-01-09,26.36,25.64,27.28,26.35,5.04,Mannar,Mannar,8.9812896,79.9043942
2013-01-10,26.03,25.13,27.54,7.05,5.46,Mannar,Mannar,8.9812896,79.9043942
2013-01-11,25.79,24.45,27.59,0.14,4.76,Mannar,Mannar,8.9812896,79.9043942
2013-01-12,25.23,23.32,27.41,0.0,4.64,Mannar,Mannar,8.9812896,79.9043942
2013-01-13,24.24,22.52,26.52,0.0,4.6,Mannar,Mannar,8.9812896,79.9043942
2013-01-14,24.44,22.54,26.71,0.0,4.19,Mannar,Mannar,8.9812896,79.9043942
2013-01-15,24.8,23.43,26.83,0.0,4.59,Mannar,Mannar,8.9812896,79.9043942
2013-01-16,24.91,23.24,27.26,0.0,4.76,Mannar,Mannar,8.9812896,79.9043942
2013-01-17,24.55,22.73,26.89,0.0,4.16,Mannar,Mannar,8.9812896,79.9043942
2013-01-18,24.64,22.76,27.07,0.0,3.8,Mannar,Mannar,8.9812896,79.9043942
2013-01-19,24.94,22.72,27.62,0.06,3.71,Mannar,Mannar,8.9812896,79.9043942
2013-01-20,25.56,23.86,27.99,1.35,4.17,Mannar,Mannar,8.9812896,79.9043942
2013-01-21,25.68,24.33,27.95,0.0,5.08,Mannar,Mannar,8.9812896,79.9043942
2013-01-22,25.47,23.45,27.72,0.2,5.17,Mannar,Mannar,8.9812896,79.9043942
2013-01-23,25.68,24.56,27.46,1.81,5.51,Mannar,Mannar,8.9812896,79.9043942
2013-01-24,25.77,24.58,27.63,1.43,5.32,Mannar,Mannar,8.9812896,79.9043942
2013-01-25,25.58,24.47,27.28,0.8,4.93,Mannar,Mannar,8.9812896,79.9043942
2013-01-26,25.61,24.0,27.86,0.0,4.73,Mannar,Mannar,8.9812896,79.9043942
2013-01-27,25.44,23.61,27.85,0.0,4.71,Mannar,Mannar,8.9812896,79.9043942
2013-01-28,25.38,23.7,27.85,0.0,4.65,Mannar,Mannar,8.9812896,79.9043942
2013-01-29,24.94,22.81,27.69,0.0,4.33,Mannar,Mannar,8.9812896,79.9043942
2013-01-30,24.95,22.71,27.83,0.15,4.72,Mannar,Mannar,8.9812896,79.9043942
2013-01-31,24.81,22.78,27.46,0.0,5.14,Mannar,Mannar,8.9812896,79.9043942
2013-02-01,25.17,23.25,27.63,0.0,4.81,Mannar,Mannar,8.9812896,79.9043942
2013-02-02,25.47,23.86,27.72,0.01,4.88,Mannar,Mannar,8.9812896,79.9043942
2013-02-03,25.57,23.86,27.83,0.12,4.49,Mannar,Mannar,8.9812896,79.9043942
2013-02-04,25.99,24.09,28.34,21.57,4.16,Mannar,Mannar,8.9812896,79.9043942
2013-02-05,26.3,24.78,28.62,16.66,4.21,Mannar,Mannar,8.9812896,79.9043942
2013-02-06,26.29,24.86,28.65,1.37,3.89,Mannar,Mannar,8.9812896,79.9043942
2013-02-07,26.32,24.43,28.69,0.04,3.02,Mannar,Mannar,8.9812896,79.9043942
2013-02-08,26.45,24.18,29.18,0.03,2.06,Mannar,Mannar,8.9812896,79.9043942
2013-02-09,26.26,24.25,29.01,0.08,3.87,Mannar,Mannar,8.9812896,79.9043942
2013-02-10,26.22,24.64,28.63,0.33,4.8,Mannar,Mannar,8.9812896,79.9043942
2013-02-11,26.11,24.93,28.3,14.81,4.99,Mannar,Mannar,8.9812896,79.9043942
2013-02-12,25.98,24.89,27.63,12.86,5.28,Mannar,Mannar,8.9812896,79.9043942
2013-02-13,26.18,25.16,27.73,35.36,4.9,Mannar,Mannar,8.9812896,79.9043942
2013-02-14,26.11,24.41,28.34,19.04,3.73,Mannar,Mannar,8.9812896,79.9043942
2013-02-15,25.9,23.9,28.02,0.71,3.01,Mannar,Mannar,8.9812896,79.9043942
2013-02-16,26.83,23.57,29.8,0.2,1.74,Mannar,Mannar,8.9812896,79.9043942
2013-02-17,27.05,24.75,29.16,0.82,2.13,Mannar,Mannar,8.9812896,79.9043942
2013-02-18,26.98,24.6,29.16,1.96,1.93,Mannar,Mannar,8.9812896,79.9043942
2013-02-19,26.74,24.61,29.07,8.17,3.1,Mannar,Mannar,8.9812896,79.9043942
2013-02-20,26.58,24.86,28.98,0.66,4.0,Mannar,Mannar,8.9812896,79.9043942
2013-02-21,25.97,24.33,28.37,0.0,4.64,Mannar,Mannar,8.9812896,79.9043942
2013-02-22,25.76,24.0,28.25,0.0,4.89,Mannar,Mannar,8.9812896,79.9043942
2013-02-23,25.62,23.61,28.4,0.0,3.99,Mannar,Mannar,8.9812896,79.9043942
2013-02-24,25.2,22.71,28.08,0.0,3.48,Mannar,Mannar,8.9812896,79.9043942
2013-02-25,25.09,22.6,28.22,0.0,3.29,Mannar,Mannar,8.9812896,79.9043942
2013-02-26,25.46,22.78,28.51,0.0,3.45,Mannar,Mannar,8.9812896,79.9043942
2013-02-27,25.83,23.22,28.93,0.0,3.69,Mannar,Mannar,8.9812896,79.9043942
2013-02-28,26.4,24.31,29.22,0.0,4.14,Mannar,Mannar,8.9812896,79.9043942
2013-03-01,26.12,23.77,28.94,0.0,4.04,Mannar,Mannar,8.9812896,79.9043942
2013-03-02,26.34,24.48,29.13,0.0,4.5,Mannar,Mannar,8.9812896,79.9043942
2013-03-03,26.4,24.21,29.25,0.0,4.75,Mannar,Mannar,8.9812896,79.9043942
2013-03-04,26.59,24.92,28.9,38.69,4.74,Mannar,Mannar,8.9812896,79.9043942
2013-03-05,26.49,24.99,28.1,23.21,4.9,Mannar,Mannar,8.9812896,79.9043942
2013-03-06,27.28,26.04,29.27,8.16,4.37,Mannar,Mannar,8.9812896,79.9043942
2013-03-07,27.14,26.08,28.77,2.29,4.77,Mannar,Mannar,8.9812896,79.9043942
2013-03-08,27.32,25.98,29.51,5.96,3.82,Mannar,Mannar,8.9812896,79.9043942
2013-03-09,27.46,25.72,29.73,0.88,2.89,Mannar,Mannar,8.9812896,79.9043942
2013-03-10,27.32,24.81,30.49,0.01,2.79,Mannar,Mannar,8.9812896,79.9043942
2013-03-11,26.93,24.28,30.33,0.0,3.0,Mannar,Mannar,8.9812896,79.9043942
