,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,23.24,21.07,26.29,2.92,2.06,Moneragala,Buttala,6.760246,81.2470358
2013-01-02,22.87,21.06,25.7,7.53,1.83,Moneragala,Buttala,6.760246,81.2470358
2013-01-03,22.85,20.74,25.74,20.54,2.17,Moneragala,Buttala,6.760246,81.2470358
2013-01-04,21.97,20.01,24.04,36.21,3.04,Moneragala,Buttala,6.760246,81.2470358
2013-01-05,21.51,19.25,23.72,12.21,2.84,Moneragala,Buttala,6.760246,81.2470358
2013-01-06,22.79,21.25,24.85,8.05,2.03,Moneragala,Buttala,6.760246,81.2470358
2013-01-07,23.01,21.37,25.07,52.69,1.9,Moneragala,Buttala,6.760246,81.2470358
2013-01-08,23.78,21.11,27.07,16.52,0.64,Moneragala,Buttala,6.760246,81.2470358
2013-01-09,23.93,22.15,26.45,26.6,1.22,Moneragala,Buttala,6.760246,81.2470358
2013-01-10,23.61,22.27,25.23,34.14,2.1,Moneragala,Buttala,6.760246,81.2470358
2013-01-11,23.31,20.81,25.98,15.63,3.14,Moneragala,Buttala,6.760246,81.2470358
2013-01-12,22.25,19.59,25.73,0.36,2.57,Moneragala,Buttala,6.760246,81.2470358
2013-01-13,21.07,17.79,25.25,0.01,2.21,Moneragala,Buttala,6.760246,81.2470358
2013-01-14,20.37,16.04,25.28,0.02,1.97,Moneragala,Buttala,6.760246,81.2470358
2013-01-15,20.69,16.98,25.28,0.06,2.06,Moneragala,Buttala,6.760246,81.2470358
2013-01-16,20.65,16.92,25.24,0.03,2.41,Moneragala,Buttala,6.760246,81.2470358
2013-01-17,20.68,16.72,25.85,0.09,1.9,Moneragala,Buttala,6.760246,81.2470358
2013-01-18,20.91,16.28,26.45,0.06,1.6,Moneragala,Buttala,6.760246,81.2470358
2013-01-19,21.62,16.83,26.97,0.04,1.69,Moneragala,Buttala,6.760246,81.2470358
2013-01-20,22.79,19.37,27.03,2.64,1.84,Moneragala,Buttala,6.760246,81.2470358
2013-01-21,22.99,20.5,26.84,0.91,2.51,Moneragala,Buttala,6.760246,81.2470358
2013-01-22,22.99,20.5,26.97,6.34,2.47,Moneragala,Buttala,6.760246,81.2470358
