,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.08,22.97,27.86,4.45,2.78,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-02,24.76,22.93,27.39,7.18,2.26,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-03,24.53,22.7,27.12,15.78,2.85,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-04,23.65,21.81,25.39,41.94,3.93,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-05,23.1,21.19,25.1,14.16,3.84,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-06,24.54,23.12,26.46,8.47,2.94,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-07,24.66,23.27,26.97,54.76,2.22,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-08,24.96,22.72,27.61,14.08,0.84,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-09,25.44,23.35,28.12,26.56,1.51,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-10,25.32,23.7,27.0,27.92,2.32,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-11,24.96,22.85,26.85,16.05,3.92,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-12,24.22,21.95,27.28,0.51,3.73,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-13,23.38,20.77,27.32,0.02,3.22,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-14,22.65,19.04,26.87,0.01,2.93,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-15,22.77,19.53,26.84,0.05,3.09,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-16,22.81,19.64,26.85,0.02,3.51,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-17,22.83,19.22,27.32,0.02,2.95,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-18,23.16,19.31,27.85,0.03,2.52,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-19,23.69,19.32,28.59,0.01,2.55,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-20,24.61,21.33,28.63,1.28,2.56,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-21,24.83,22.24,28.43,0.8,3.23,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-22,24.83,22.14,28.61,3.83,3.2,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-23,24.77,23.0,27.29,29.38,2.96,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-24,24.54,23.4,26.22,34.71,2.88,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-25,24.54,22.75,27.24,26.03,3.06,Moneragala,Thanamalwila,6.4350447,81.1308539
2013-01-26,24.45,22.43,27.56,0.28,3.32,Moneragala,Thanamalwila,6.4350447,81.1308539
