,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,23.51,21.52,26.59,0.15,2.16,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-02,23.4,20.85,26.5,7.78,1.86,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-03,23.65,21.28,27.37,28.93,2.35,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-04,22.83,20.67,25.81,15.85,2.89,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-05,22.19,19.52,24.94,6.35,2.62,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-06,23.41,21.42,26.21,5.19,2.36,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-07,23.57,21.87,25.18,50.84,2.47,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-08,23.93,21.16,26.99,21.11,1.32,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-09,24.55,22.13,27.18,26.87,1.47,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-10,23.81,22.64,25.23,49.79,2.78,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-11,23.46,20.66,26.73,15.63,3.38,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-12,22.38,19.07,26.46,0.36,2.66,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-13,20.87,17.69,25.11,0.0,2.25,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-14,20.72,16.29,25.76,0.0,2.33,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-15,21.29,17.59,25.85,0.0,2.58,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-16,21.11,17.46,25.63,0.0,2.76,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-17,20.99,16.76,26.38,0.0,2.18,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-18,20.9,15.98,26.48,0.0,1.89,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-19,21.76,17.18,27.12,0.08,1.88,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-20,23.34,19.58,28.26,6.47,2.1,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-21,23.31,20.9,27.48,0.36,2.84,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-22,23.37,20.25,27.57,4.47,2.87,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-23,23.82,21.73,27.3,22.7,3.33,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-24,23.15,21.6,25.37,23.8,3.39,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-25,22.83,20.96,25.85,11.83,2.61,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-26,22.83,20.03,27.05,0.66,2.71,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-27,22.31,19.35,26.37,0.08,2.61,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-28,21.92,19.16,25.83,0.0,2.43,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-29,21.68,18.08,26.84,0.0,2.38,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-30,21.49,17.14,26.93,0.0,2.62,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-01-31,21.64,18.1,26.69,0.0,2.63,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-01,22.73,18.91,27.7,0.01,2.85,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-02,23.07,20.05,27.47,0.07,2.96,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-03,23.03,19.51,27.65,0.59,2.34,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-04,24.08,20.01,28.87,20.16,2.02,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-05,24.23,21.84,28.15,5.37,1.95,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-06,23.65,21.17,26.89,7.5,1.84,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-07,23.65,20.06,27.92,7.36,1.76,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-08,23.68,20.44,27.76,0.84,1.33,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-09,23.65,19.4,28.63,3.03,1.97,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-10,23.49,20.52,27.78,2.95,2.6,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-11,22.93,21.11,26.01,17.9,3.3,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-12,22.75,20.97,24.83,29.67,3.18,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-13,23.6,21.71,26.17,39.19,2.88,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-14,23.4,20.61,26.88,16.41,1.68,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-15,23.64,20.23,27.76,0.41,1.77,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-16,24.65,19.46,29.6,3.7,0.95,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-17,25.3,21.29,29.59,6.4,0.89,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-18,24.81,21.14,28.85,8.01,1.15,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-19,24.39,20.9,28.64,8.66,1.71,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-20,23.53,19.85,28.06,0.8,2.04,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-21,22.93,19.21,28.02,0.0,2.22,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-22,22.27,18.51,27.15,0.0,2.53,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-23,22.01,17.28,27.57,0.0,2.21,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-24,22.45,17.44,28.02,0.0,1.96,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-25,22.9,18.13,28.66,0.0,1.94,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-26,22.32,17.45,28.1,0.0,1.71,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-27,22.7,18.29,28.15,0.0,1.82,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-02-28,23.18,19.42,28.33,0.0,2.1,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-01,23.31,19.04,28.66,0.01,2.06,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-02,23.69,19.52,28.86,1.36,2.28,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-03,23.45,19.58,28.14,3.53,2.46,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-04,23.24,21.48,25.52,22.84,2.67,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-05,24.52,21.26,28.66,8.59,2.78,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-06,25.1,21.67,29.18,4.03,2.49,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-07,24.77,23.26,27.32,2.89,2.42,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-08,25.13,22.79,28.83,5.97,2.37,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
2013-03-09,24.73,22.05,28.59,5.98,1.55,Nuwaraeliya,Nawatispane,7.2833333,80.6333333
