,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,21.75,19.48,24.93,0.16,1.86,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-02,21.34,19.03,24.12,4.8,1.59,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-03,21.65,18.88,25.41,23.47,2.15,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-04,20.79,18.3,23.8,17.84,3.1,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-05,19.84,17.39,22.24,5.4,3.29,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-06,21.43,19.34,24.13,3.19,2.02,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-07,21.77,19.96,24.0,52.65,1.64,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-08,22.28,19.03,25.73,14.5,0.94,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-09,22.69,20.23,25.41,20.22,1.31,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-10,22.24,20.5,24.43,38.24,1.96,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-11,22.26,19.23,25.87,19.21,3.09,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-12,21.08,18.31,25.16,0.56,2.64,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-13,19.9,16.94,24.09,0.01,2.35,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-14,19.6,15.22,24.95,0.0,1.95,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-15,19.57,15.84,24.56,0.0,2.35,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-16,19.22,15.28,24.29,0.0,2.75,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-17,19.72,15.08,25.61,0.0,1.83,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-18,19.96,14.71,26.17,0.0,1.31,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-19,20.52,15.46,26.36,0.03,1.49,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-20,21.48,16.9,26.18,3.84,1.39,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-21,21.83,18.72,26.46,0.22,2.35,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-22,21.58,18.21,26.12,2.57,2.54,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-23,21.97,18.86,26.03,22.0,2.55,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-24,21.49,20.02,23.88,20.6,2.19,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-25,21.24,19.17,24.83,10.77,2.4,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-26,21.44,18.49,26.09,0.72,2.55,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-27,20.97,18.02,25.3,0.12,2.52,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-28,20.15,17.47,24.21,0.0,2.42,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-29,20.27,16.46,25.8,0.0,2.26,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-30,19.89,15.6,25.58,0.0,2.5,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-01-31,20.28,16.28,25.85,0.0,2.39,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-02-01,21.2,16.9,26.6,0.01,2.57,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-02-02,21.58,18.2,26.36,0.02,2.78,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-02-03,21.62,18.06,26.46,0.12,1.99,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
2013-02-04,22.27,17.42,27.0,14.6,1.07,Nuwaraeliya,Nuwara Eliya,7.012402,80.7571612
