,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.7,24.11,27.88,0.75,2.74,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-02,25.52,23.78,27.46,10.29,2.36,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-03,25.66,24.29,27.97,45.21,2.77,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-04,24.86,22.89,27.08,15.46,3.15,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-05,24.92,22.57,27.43,7.82,2.97,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-06,25.61,24.21,27.77,8.54,3.07,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-07,25.6,24.5,26.63,49.82,3.15,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-08,25.66,24.49,27.53,30.73,1.59,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-09,25.92,24.25,28.06,34.01,1.92,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-10,25.57,24.84,26.23,50.25,3.79,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-11,25.38,23.71,27.26,5.15,3.63,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-12,24.54,22.09,27.18,0.42,3.17,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-13,23.42,21.24,26.53,0.0,2.82,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-14,23.44,20.53,26.35,0.0,2.72,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-15,24.1,22.01,26.79,0.01,2.97,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-16,24.09,22.24,26.79,0.0,3.29,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-17,23.83,21.36,26.9,0.04,2.51,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-18,23.72,21.08,27.09,0.02,2.12,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-19,24.56,21.85,27.94,0.16,2.19,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-20,25.16,23.15,28.01,10.63,2.84,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-21,25.25,23.62,27.81,0.26,3.45,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-22,25.42,23.5,27.96,8.91,3.65,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
2013-01-23,25.56,24.63,27.4,26.17,4.19,Polonnaruwa,Hingurakgoda,8.0415145,80.9531701
