,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.52,23.51,27.88,0.04,3.58,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-02,25.72,23.26,28.59,1.6,3.39,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-03,25.7,23.65,28.57,11.92,3.68,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-04,25.61,23.56,28.51,2.87,4.07,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-05,24.95,22.72,27.74,0.65,3.88,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-06,25.4,23.15,27.76,1.27,3.95,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-07,25.54,24.02,27.14,32.97,4.4,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-08,25.99,24.35,27.66,36.74,2.95,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-09,26.1,24.64,28.06,20.74,3.72,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-10,25.5,24.17,26.91,23.95,4.97,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-11,25.37,23.16,28.3,1.53,4.78,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-12,24.68,21.83,28.07,0.01,4.32,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-13,23.38,20.54,27.15,0.0,4.21,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-14,23.56,20.43,27.12,0.0,4.01,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-15,23.95,21.76,27.32,0.0,4.25,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-16,23.91,21.48,27.4,0.0,4.61,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-17,23.72,20.57,27.79,0.0,3.86,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-18,23.62,20.06,27.46,0.0,3.54,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-19,24.06,20.28,28.25,0.0,3.34,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-20,25.09,21.83,28.74,0.48,3.51,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-21,25.39,23.07,28.88,0.05,4.55,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-22,25.25,22.19,28.86,0.15,4.66,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-23,25.46,23.44,28.41,4.58,5.23,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-24,25.33,23.67,28.15,9.79,5.04,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-25,25.18,23.41,27.86,1.57,4.48,Puttalam,Anamaduwa,7.8776367,80.0109366
2013-01-26,25.18,22.4,28.87,0.07,4.46,Puttalam,Anamaduwa,7.8776367,80.0109366
