,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.6,24.01,27.9,0.03,3.85,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-02,25.61,23.47,28.09,1.8,3.6,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-03,25.73,23.74,28.63,13.05,3.97,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-04,25.32,23.23,27.87,5.49,4.57,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-05,24.45,22.29,26.76,2.3,4.42,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-06,25.46,23.51,27.72,1.96,4.13,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-07,25.41,24.2,26.86,29.49,4.52,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-08,25.81,23.47,27.98,26.11,2.93,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-09,26.12,24.14,28.13,18.34,3.4,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-10,25.53,24.45,26.56,29.31,4.96,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-11,25.5,23.31,28.37,4.33,5.35,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-12,24.81,22.31,27.97,0.04,4.8,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-13,23.51,20.97,26.71,0.0,4.63,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-14,23.54,20.45,27.15,0.0,4.31,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-15,23.92,21.48,27.42,0.0,4.52,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-16,23.73,20.85,27.36,0.0,4.74,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-17,23.78,20.44,27.99,0.0,4.1,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-18,23.66,19.94,27.55,0.0,3.84,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-19,24.09,20.29,28.14,0.01,3.73,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-20,25.09,21.74,28.62,1.06,3.62,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-21,25.45,23.28,28.88,0.17,4.78,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-22,25.32,22.57,28.76,0.33,4.93,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-23,25.53,23.64,28.47,6.28,5.47,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-24,25.21,23.76,27.5,11.03,5.16,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-25,25.17,23.5,27.83,3.18,4.69,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-26,25.16,22.56,28.74,0.18,4.79,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-27,24.73,21.83,28.59,0.04,4.69,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-28,24.43,22.0,27.91,0.0,4.49,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-29,24.4,21.3,28.53,0.0,4.46,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-30,24.25,20.85,28.69,0.0,4.77,Puttalam,Chilaw,7.5765074,79.7956755
2013-01-31,24.17,21.14,28.3,0.0,5.03,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-01,24.84,21.55,28.77,0.0,4.84,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-02,25.3,22.67,28.95,0.04,4.94,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-03,25.31,22.36,29.02,0.07,4.32,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-04,25.84,22.56,29.2,7.37,3.41,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-05,26.24,24.09,29.36,1.85,2.87,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-06,25.88,23.78,28.63,12.19,3.0,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-07,25.96,22.82,29.37,4.78,2.88,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-08,25.89,23.34,28.73,1.41,1.75,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-09,26.1,23.05,29.78,5.79,2.56,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-10,25.75,23.17,29.49,1.28,4.41,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-11,25.18,23.3,28.25,6.44,4.99,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-12,24.91,23.42,26.85,12.47,5.11,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-13,25.62,24.09,28.01,25.74,4.25,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-14,25.71,23.0,28.81,11.68,2.16,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-15,25.68,23.17,29.02,0.4,2.67,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-16,26.07,22.77,29.52,2.37,1.67,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-17,26.92,24.25,29.72,1.7,1.32,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-18,26.54,23.86,29.15,5.9,1.6,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-19,26.59,23.89,29.84,13.08,2.44,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-20,25.94,22.89,29.5,0.55,3.64,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-21,25.3,22.01,29.36,0.0,4.18,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-22,24.83,21.97,28.81,0.0,4.66,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-23,24.72,20.94,29.09,0.0,4.11,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-24,24.9,20.62,29.27,0.0,3.6,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-25,25.29,21.2,29.72,0.0,3.55,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-26,24.79,20.76,29.14,0.0,3.21,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-27,25.11,21.15,29.4,0.0,3.49,Puttalam,Chilaw,7.5765074,79.7956755
2013-02-28,25.52,22.09,29.74,0.0,3.68,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-01,25.71,22.39,29.82,0.01,3.8,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-02,25.84,22.21,30.17,2.19,3.85,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-03,25.82,22.58,29.79,1.0,4.23,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-04,25.31,23.32,27.42,15.63,4.15,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-05,26.35,23.43,29.98,5.77,3.68,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-06,26.98,23.87,30.58,5.27,2.96,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-07,26.53,24.98,28.74,3.79,3.63,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-08,26.89,25.06,29.7,7.03,3.39,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-09,26.68,24.59,29.26,3.9,2.64,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-10,27.3,23.83,31.09,0.19,2.36,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-11,27.45,23.61,31.2,2.46,1.74,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-12,27.41,24.02,31.04,2.12,1.35,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-13,27.29,23.24,31.07,0.4,1.63,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-14,26.9,24.13,30.22,5.74,2.25,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-15,26.98,24.84,29.92,11.58,1.87,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-16,26.4,24.78,28.53,13.53,2.05,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-17,26.92,24.09,30.3,0.98,2.72,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-18,27.09,23.13,31.38,1.55,2.6,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-19,27.31,23.21,31.5,0.32,1.83,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-20,27.46,24.17,31.31,0.12,2.92,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-21,27.25,23.66,30.96,0.02,2.45,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-22,27.07,23.47,31.38,0.0,2.13,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-23,27.2,23.8,30.6,5.02,1.86,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-24,27.34,25.35,29.77,21.07,2.21,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-25,26.73,24.69,29.04,11.18,1.77,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-26,27.7,25.22,30.26,6.53,1.1,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-27,28.25,26.18,30.66,1.42,0.95,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-28,27.7,26.2,29.66,11.57,1.49,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-29,27.2,26.08,28.66,11.61,1.86,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-30,27.49,25.66,30.08,1.78,1.81,Puttalam,Chilaw,7.5765074,79.7956755
2013-03-31,27.93,26.07,30.29,1.1,1.7,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-01,27.79,26.14,29.96,0.93,2.4,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-02,28.33,26.13,31.01,0.85,1.57,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-03,28.07,25.43,31.15,1.34,1.14,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-04,27.51,25.76,29.92,2.4,2.6,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-05,27.43,25.44,29.68,3.42,3.34,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-06,27.96,25.85,30.94,0.68,3.24,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-07,28.13,25.58,31.23,1.04,2.43,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-08,28.44,25.68,31.37,1.01,1.83,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-09,28.35,26.28,31.23,6.43,1.48,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-10,27.02,25.5,28.38,9.68,2.51,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-11,27.34,25.19,29.8,2.26,2.04,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-12,28.58,25.57,31.78,3.22,0.96,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-13,27.31,24.86,29.0,24.86,1.9,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-14,27.8,24.37,31.12,7.12,1.54,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-15,27.68,25.87,29.98,13.75,3.09,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-16,27.89,26.75,29.63,6.56,3.33,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-17,28.14,26.35,30.8,1.03,3.36,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-18,28.12,26.08,30.76,0.34,3.24,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-19,28.22,26.11,31.14,0.06,2.72,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-20,27.79,25.6,30.6,0.25,3.15,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-21,27.8,25.06,30.89,0.18,2.67,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-22,28.03,25.57,30.98,5.01,2.76,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-23,28.16,25.91,30.81,5.48,1.79,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-24,28.34,26.3,30.77,4.74,1.45,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-25,28.64,26.65,31.07,10.62,1.07,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-26,27.53,25.97,29.46,7.51,1.78,Puttalam,Chilaw,7.5765074,79.7956755
2013-04-27,27.55,25.48,30.02,3.39,1.6,Puttalam,Chilaw,7.5765074,79.7956755
