,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.53,25.42,27.79,0.94,4.13,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-02,26.55,25.28,27.77,6.01,3.64,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-03,26.58,25.72,27.86,45.55,4.18,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-04,26.12,24.37,27.57,8.73,4.45,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-05,26.16,24.28,27.88,1.73,4.59,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-06,26.5,25.77,27.44,7.2,4.79,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-07,26.5,25.69,27.28,43.16,4.72,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-08,26.48,25.83,27.37,39.8,2.94,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-09,26.59,25.73,27.5,32.48,3.73,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-10,26.37,25.71,27.13,26.41,5.63,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-11,26.07,25.09,27.18,1.16,5.05,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-12,25.52,23.91,27.13,0.11,4.58,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-13,24.61,23.27,26.4,0.0,4.35,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-14,24.74,22.98,26.44,0.0,4.12,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-15,25.29,23.9,26.89,0.0,4.47,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-16,25.38,24.13,27.01,0.01,4.77,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-17,24.99,23.55,26.75,0.04,3.72,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-18,24.84,23.15,26.68,0.05,3.08,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-19,25.57,23.92,27.54,0.37,3.35,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-20,26.02,24.86,27.57,5.84,4.28,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-21,25.98,25.03,27.42,0.09,5.04,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-22,26.01,24.68,27.52,5.28,5.28,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-23,26.14,25.44,27.21,16.95,5.92,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-24,25.88,25.32,26.68,15.79,5.51,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-25,26.0,25.12,27.32,4.6,4.94,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-26,26.06,24.91,27.71,0.29,4.67,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-27,25.75,24.58,27.21,0.01,4.57,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-28,25.53,24.59,26.83,0.0,4.5,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-29,25.38,23.89,27.33,0.0,4.24,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-30,25.35,23.71,27.38,0.0,4.59,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-01-31,25.14,23.48,27.0,0.19,4.52,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-01,25.74,24.28,27.42,0.48,4.95,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-02,25.92,24.72,27.52,0.54,5.01,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-03,26.0,24.79,27.63,2.54,4.27,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-04,26.39,25.01,28.09,66.1,4.43,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-05,26.43,25.53,27.72,35.62,4.32,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-06,26.43,25.46,27.95,1.75,3.65,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-07,26.45,25.24,28.0,0.52,3.18,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-08,26.32,25.17,27.93,1.1,2.33,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-09,26.41,25.06,28.21,0.59,3.38,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-10,26.38,25.28,27.95,1.18,4.39,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-11,26.02,25.12,27.23,33.8,4.99,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-12,25.86,24.95,26.8,49.71,5.11,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-13,26.25,25.54,27.2,63.69,4.67,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-14,26.25,24.61,28.02,28.55,3.69,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-15,25.95,24.62,27.52,0.43,2.69,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-16,27.01,25.1,29.26,0.61,2.22,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-17,27.06,25.07,29.08,4.86,1.7,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-18,26.83,25.38,28.49,1.65,2.24,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-19,26.83,25.49,28.42,3.36,2.91,Trincomalee,Eachilampatthu,8.3833333,81.2666667
2013-02-20,26.59,25.34,28.3,0.59,3.65,Trincomalee,Eachilampatthu,8.3833333,81.2666667
