,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.95,26.4,27.54,0.67,4.88,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-02,27.06,26.3,27.69,2.85,4.37,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-03,27.05,26.47,27.57,44.77,4.85,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-04,26.86,25.42,27.64,15.27,4.64,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-05,26.82,25.41,27.76,0.45,5.35,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-06,27.07,26.68,27.47,4.08,5.79,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-07,27.0,26.4,27.48,42.79,5.73,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-08,27.06,26.7,27.42,45.08,4.01,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-09,26.93,26.71,27.22,49.96,5.32,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-10,26.82,26.44,27.4,25.59,6.54,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-11,26.5,25.92,27.06,0.6,5.73,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-12,26.1,25.16,26.87,0.06,5.43,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-13,25.41,24.66,26.19,0.0,5.23,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-14,25.55,24.69,26.31,0.01,4.91,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-15,26.01,25.19,26.74,0.03,5.38,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-16,26.12,25.32,27.02,0.07,5.69,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-17,25.66,24.84,26.43,0.11,4.57,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-18,25.7,24.87,26.4,0.24,3.89,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-19,26.23,25.46,27.12,0.4,4.07,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-20,26.47,25.89,27.12,2.15,5.05,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-21,26.32,25.85,26.94,0.07,5.85,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-22,26.33,25.63,27.04,4.48,6.17,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-23,26.47,26.06,26.9,11.86,6.75,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-24,26.47,26.17,26.84,6.06,6.35,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-25,26.44,25.89,27.07,1.56,5.76,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-26,26.61,26.07,27.34,0.06,5.45,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-27,26.38,25.81,27.02,0.01,5.47,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-28,26.18,25.69,26.85,0.0,5.43,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-29,26.01,25.24,26.87,0.0,5.03,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-30,26.05,25.31,26.95,0.01,5.52,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-31,25.77,24.99,26.57,0.67,5.48,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-01,26.07,25.29,26.84,0.81,5.57,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-02,26.19,25.56,26.91,2.11,5.71,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-03,26.43,25.75,27.21,2.59,5.02,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-04,26.7,25.97,27.37,58.9,5.21,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-05,26.88,26.42,27.39,21.11,5.12,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-06,26.97,26.51,27.66,0.56,4.45,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-07,26.96,26.43,27.64,0.19,3.8,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-08,26.76,26.25,27.45,0.29,2.73,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-09,26.8,26.09,27.59,0.59,4.18,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-10,26.83,26.34,27.52,1.09,5.33,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-11,26.6,26.12,27.31,35.68,5.8,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-12,26.55,25.95,27.16,29.0,6.11,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-13,26.65,26.21,27.13,53.65,5.39,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-14,26.85,25.83,27.76,38.69,4.14,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-15,26.41,25.58,26.98,0.83,2.97,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-16,27.44,26.56,28.43,0.38,2.72,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-17,27.25,26.33,27.96,4.11,1.99,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-18,27.08,26.54,27.56,4.86,2.53,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-19,27.23,26.65,28.0,2.26,3.6,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-20,26.97,26.23,27.86,0.18,4.44,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-21,26.55,25.98,27.36,0.0,4.93,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-22,26.66,26.1,27.42,0.0,5.6,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-23,26.48,25.83,27.41,0.0,4.39,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-24,26.18,25.39,27.05,0.0,3.84,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-25,25.99,25.21,26.91,0.0,3.57,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-26,26.48,25.47,27.4,0.0,3.78,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-27,26.94,25.99,27.8,0.0,4.28,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-28,27.14,26.51,27.99,0.0,5.05,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-01,26.86,26.14,27.65,0.0,4.46,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-02,27.05,26.29,27.82,0.0,4.86,Trincomalee,Kuchchavely,8.818264,81.0996219
