,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,25.64,23.95,28.08,0.26,3.02,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-02,25.6,23.25,28.08,1.08,2.66,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-03,25.7,24.13,28.04,20.62,2.9,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-04,25.47,23.48,27.88,7.87,2.71,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-05,25.38,23.18,27.74,0.13,3.13,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-06,25.5,24.03,27.29,1.21,3.41,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-07,25.78,24.39,27.35,36.19,3.74,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-08,26.13,25.04,27.48,48.2,2.77,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-09,26.04,25.16,27.29,32.91,3.97,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-10,25.49,24.35,27.36,11.37,4.07,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-11,25.15,23.56,27.38,0.3,3.57,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-12,24.37,21.76,27.17,0.01,3.34,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-13,23.2,20.88,26.25,0.0,3.24,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-14,23.64,21.2,26.66,0.0,3.06,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-15,24.06,22.24,26.85,0.01,3.33,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-16,24.05,21.99,27.09,0.03,3.5,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-17,23.69,21.5,26.78,0.02,2.94,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-18,23.57,21.11,26.74,0.06,2.56,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-19,24.28,21.41,27.78,0.18,2.51,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-20,25.1,23.08,27.99,1.79,3.11,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-21,25.14,23.56,27.82,0.02,3.78,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-22,25.04,22.75,27.85,1.27,3.97,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-23,25.2,23.95,27.28,5.68,4.25,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-24,25.19,23.93,27.14,3.12,3.94,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-25,25.05,23.6,27.27,0.99,3.65,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-26,24.99,22.78,27.93,0.01,3.39,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-27,24.64,22.43,27.58,0.0,3.38,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-28,24.6,22.65,27.64,0.0,3.43,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-29,24.2,21.63,27.69,0.0,3.12,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-30,24.21,21.5,27.83,0.1,3.46,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-01-31,24.07,21.53,27.37,0.13,3.64,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-01,24.64,22.21,27.78,0.14,3.55,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-02,24.96,22.97,27.89,0.58,3.63,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-03,25.02,22.94,28.02,0.89,3.22,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-04,25.58,23.24,28.59,43.68,3.26,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-05,25.76,24.09,28.38,20.92,3.27,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-06,25.78,24.06,28.73,0.64,2.84,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-07,25.79,23.53,28.86,0.08,2.32,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-08,25.88,23.4,29.47,0.08,1.78,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-09,25.74,23.47,29.12,0.17,2.8,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-10,25.6,23.81,28.45,0.79,3.51,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-11,25.39,24.04,27.92,25.89,3.79,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-12,25.24,23.89,26.99,24.44,3.84,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-13,25.52,24.5,27.23,50.81,3.6,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-14,25.61,23.6,28.2,25.17,2.78,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-15,25.49,23.31,28.45,0.82,1.98,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-16,26.51,22.82,30.46,0.32,1.5,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-17,26.65,23.11,30.06,1.91,1.31,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-18,26.35,23.07,30.05,3.16,1.53,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-19,26.29,23.87,29.43,5.23,2.39,Vavuniya,Vavuniya,8.7593517,80.5000778
2013-02-20,25.93,23.82,28.95,0.32,2.89,Vavuniya,Vavuniya,8.7593517,80.5000778
