District,MOH,Latitude,Longitude
Colombo,Dehiwela,6.8512785,79.8659769
Colombo,Piliyandala,6.7999509,79.9231171
Colombo,Homagama,6.8412384,80.0034457
Colombo,Kaduwela,6.9357027,79.9843311
Colombo,Kolonnawa,6.9326254,79.8903143
Colombo,Kotte/Nawala,6.8883219,79.9187415
Colombo,Maharagama,6.8472783,79.9266082
Colombo,Moratuwa,6.7746821,79.8826095
Colombo,Nugegoda,6.8699688,79.8882835
Colombo,Padukka,6.8415384,80.0916472
Colombo,Boralesgamuwa,6.8410598,79.9017028
Colombo,Hanwella/Avissawella,6.9088363,80.0817106
Colombo,Wethara,6.7846591,79.9786685
Colombo,Battaramulla,6.9021809,79.9195776
Colombo,Ratmalana,6.8722141,79.899045
Colombo,Kahathuduwa,6.7831285,79.9839654
Colombo,Egoda Uyana,6.7429002,79.8915809
Colombo,Kesbewa,6.7957403,79.940848
Colombo,Gothatuwa,6.929658,79.9060604
Colombo,MC Colombo,6.9270786,79.861243
Gampaha,Attanagalla/Veyangoda,7.1138383,80.1367665
Gampaha,Biyagama,6.9444898,79.9905575
Gampaha,Divulapitiya,7.2245446,80.0193654
Gampaha,Gampaha,7.1190247,79.9159876
Gampaha,Ja-Ela,7.0793775,79.8907632
Gampaha,Katana,7.2505527,79.9051957
Gampaha,Kelaniya,6.9501246,79.9172715
Gampaha,Dompe/Kiridiwela/Pugoda,6.9496578,80.058322
Gampaha,Mahara,7.1617138,80.5743643
Gampaha,MC Negombo,7.2111133,79.8386111
Gampaha,Minuwangoda,7.1692723,79.9484613
Gampaha,Mirigama,7.2475144,80.1299215
Gampaha,Ragama,7.0263493,79.9236484
Gampaha,Wattala,6.9898705,79.8927094
Gampaha,Seeduwa,7.1311776,79.8762627
Kalutara,Agalawatta,6.5423445,80.157362
Kalutara,Bandaragama,6.7145129,79.9889673
Kalutara,Bulathsinhala,6.6498951,80.1780249
Kalutara,Horana,6.716647,80.0619529
Kalutara,Matugama,6.5229542,80.1142603
Kalutara,Panadura,6.7124131,79.9045759
Kalutara,Walallavita,6.8666667,80.25
Kalutara,Madurawala,6.6535551,80.0751596
Kalutara,Ingiriya,6.7437564,80.1766773
Kalutara,Palindanuwara/Baduraliya,6.5153139,80.2327148
Kalutara,Dodangoda,6.5547698,80.0242451
Kalutara,Wadduwa,6.6639728,79.9305102
Kalutara,Millaniya,6.6799768,80.0208181
Kalutara,Beruwala,6.4755855,79.9834066
Kalutara,Kalutara (NIHS),6.5745305,80.0286312
Kandy,Akurana,7.36032,80.60062
Kandy,Galagedara(Thumpane),7.3729671,80.5246925
Kandy,Udapalatha(Gampola),7.1636487,80.5702744
Kandy,Gangawatakorale(University park),7.1166667,80.1333333
Kandy,Harispattuwa(Werellagama),7.35,80.55
Kandy,Minipe(Hasalaka),7.2710565,80.9899666
Kandy,Doluwa(Hindagala project),7.1845722,80.6087011
Kandy,Kundasale,7.2804536,80.6844649
Kandy,Ganga Ihala korale(Kurunduwatta),6.9215203,80.0154357
Kandy,MC Kandy,7.2989916,80.6376178
Kandy,Medadumbara/Medamahanuwara,7.307493,80.7630446
Kandy,Panwila,7.3616772,80.7148873
Kandy,Poojapitiya,7.3784973,80.586694
Kandy,Pasbage korale (Nawalapitiya),7.0558938,80.5350145
Kandy,Pathahewaheta(Thalathu-oya),7.2333333,80.7666667
Kandy,Udadumbara,7.3189577,80.8781956
Kandy,Udunuwara,7.2641713,80.561685
Kandy,Pathadumbara(Wattegama),7.3513246,80.6825933
Kandy,Yatinuwara (Kadugannawa),7.2961404,80.635773
Kandy,Hataraliyadda,7.3380865,80.4727076
Kandy,Galaha,7.1974996,80.6696477
Kandy,Menikhinna,7.3387987,80.7278623
Kandy,Bambaradeniya,7.35,80.1833333
Matale,Dambulla,7.8742031,80.6510917
Matale,Galewela,7.7596614,80.5710966
Matale,Laggala(Pallegama),7.5932918,80.8402455
Matale,Matale,7.698211,80.660908
Matale,Naula,7.7070389,80.6530833
Matale,Pallepola,7.6229776,80.6063346
Matale,Rattota,7.5206092,80.677573
Matale,Ukuwela,7.4212501,80.6331832
Matale,Yatawatta,7.5656778,80.5836489
Matale,Ambanganga Korale,7.5565774,80.6252737
Matale,MC Matale,7.4675,80.6234
Matale,Wilgamuwa,7.5158806,80.9204886
Matale,MC Dambulla,7.8840781,80.6493835
